lat,lon,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
29.0,72.5,1.7863885e-08,2.1397941e-08,3.1419344e-08,9.1907715e-08,8.761685e-08,1.5993452e-07,9.493599e-08,1.0675831e-07,4.4357876e-08,3.8018758e-08,2.2918478e-08,9.68482e-09
29.0,73.125,1.5506943e-08,2.142568e-08,2.722945e-08,8.6482515e-08,8.020429e-08,1.2759762e-07,7.234085e-08,7.874182e-08,3.5174224e-08,3.6672706e-08,2.2123519e-08,8.378339e-09
29.0,73.75,1.4586183e-08,2.459735e-08,2.5452943e-08,7.745839e-08,7.33555e-08,9.818062e-08,5.209128e-08,6.0450596e-08,2.8209918e-08,3.7957967e-08,2.2416135e-08,8.356995e-09
29.0,74.375,1.3359597e-08,2.3270006e-08,2.419162e-08,7.290036e-08,6.52813e-08,7.729365e-08,3.849049e-08,4.7875684e-08,2.4614444e-08,4.0024574e-08,2.2222837e-08,8.106737e-09
29.0,75.0,1.2527204e-08,1.906827e-08,2.3745557e-08,6.8506054e-08,5.962835e-08,6.660921e-08,3.2053176e-08,4.0577575e-08,2.3560885e-08,4.227073e-08,2.2636778e-08,8.041282e-09
29.0,75.625,1.2311976e-08,1.772157e-08,2.3678783e-08,6.019703e-08,5.633856e-08,6.21613e-08,2.897122e-08,3.6226524e-08,2.2609493e-08,4.2639225e-08,2.4174248e-08,7.963858e-09
29.0,76.25,1.2253593e-08,1.7315674e-08,2.391889e-08,5.1373597e-08,5.2172606e-08,5.6850936e-08,2.6930783e-08,3.27939e-08,2.1953323e-08,4.196655e-08,2.5934908e-08,7.5343864e-09
29.0,76.875,1.2200959e-08,1.6729441e-08,2.3888436e-08,4.6036924e-08,4.8736123e-08,5.4725085e-08,2.461433e-08,3.0486504e-08,2.3244077e-08,4.1079588e-08,2.617271e-08,7.421917e-09
29.0,77.5,1.1629386e-08,1.5931164e-08,2.2732673e-08,4.423564e-08,4.3487812e-08,5.4757038e-08,2.2740492e-08,2.9513071e-08,2.4734558e-08,3.8802213e-08,2.5197975e-08,7.330263e-09
29.0,78.125,9.737667e-09,1.4560491e-08,2.002964e-08,3.9587636e-08,3.8948436e-08,5.204838e-08,2.1652047e-08,2.8438173e-08,2.4137504e-08,3.5739035e-08,2.1613172e-08,7.1155637e-09
29.0,78.75,7.857565e-09,1.33904905e-08,1.7459687e-08,3.576897e-08,3.7810803e-08,4.7880864e-08,1.9717097e-08,2.6226706e-08,2.133576e-08,3.015544e-08,1.7723384e-08,6.2771273e-09
29.0,79.375,6.7054993e-09,1.2213865e-08,1.5537866e-08,3.4678305e-08,3.6893095e-08,4.348285e-08,1.7172951e-08,2.5541922e-08,1.9298655e-08,2.6195325e-08,1.34732545e-08,4.4830752e-09
29.0,80.0,5.6482117e-09,1.102366e-08,1.47266555e-08,3.3407318e-08,3.49882e-08,4.145422e-08,1.608123e-08,2.4926146e-08,1.7857095e-08,2.2874849e-08,9.130599e-09,3.6475578e-09
29.0,80.625,4.1438706e-09,8.888525e-09,1.40842005e-08,3.112194e-08,3.2897187e-08,4.031599e-08,1.3706085e-08,2.100954e-08,1.4726893e-08,1.797185e-08,5.467973e-09,2.5612399e-09
29.0,81.25,3.060149e-09,6.686995e-09,1.355461e-08,2.8696862e-08,3.106951e-08,3.954016e-08,8.927219e-09,1.6482966e-08,1.1691464e-08,1.4535559e-08,3.0306637e-09,1.5734772e-09
29.5,72.5,1.6419255e-08,2.00159e-08,3.0662058e-08,6.455703e-08,7.961729e-08,1.2995564e-07,8.9978364e-08,1.01673116e-07,3.7948364e-08,3.9859103e-08,2.5051486e-08,9.021879e-09
29.5,73.125,1.5521612e-08,2.0673724e-08,2.7203866e-08,6.3002034e-08,7.448656e-08,1.0570887e-07,6.838708e-08,7.943692e-08,3.393155e-08,3.8906894e-08,2.5264914e-08,7.975711e-09
29.5,73.75,1.48075125e-08,2.3360696e-08,2.5730955e-08,6.014452e-08,7.140437e-08,8.592463e-08,5.141162e-08,6.553371e-08,2.9174892e-08,4.041419e-08,2.5769078e-08,7.952739e-09
29.5,74.375,1.3670937e-08,2.2243837e-08,2.4670719e-08,5.996335e-08,6.6560226e-08,7.458711e-08,4.1277914e-08,5.4262788e-08,2.5855359e-08,4.259909e-08,2.5623558e-08,7.729385e-09
29.5,75.0,1.28727535e-08,1.8031642e-08,2.4121091e-08,6.1569395e-08,5.981307e-08,6.949643e-08,3.604805e-08,4.6166964e-08,2.4134836e-08,4.4212474e-08,2.5991419e-08,7.613556e-09
29.5,75.625,1.22865105e-08,1.6336603e-08,2.3674499e-08,5.5729895e-08,5.2918626e-08,6.4710065e-08,3.3562834e-08,4.1499685e-08,2.3476606e-08,4.36595e-08,2.7344988e-08,7.504417e-09
29.5,76.25,1.2007971e-08,1.6013278e-08,2.3084912e-08,4.7778062e-08,4.7031556e-08,5.8721767e-08,3.0706435e-08,3.832532e-08,2.3411909e-08,4.1683023e-08,2.7400104e-08,7.346341e-09
29.5,76.875,1.1713001e-08,1.5766545e-08,2.216204e-08,4.258988e-08,4.35053e-08,5.5915734e-08,2.7267502e-08,3.6145273e-08,2.464967e-08,3.6191317e-08,2.5189244e-08,7.0838784e-09
29.5,77.5,1.0195964e-08,1.45075445e-08,1.9297659e-08,3.876885e-08,3.9180446e-08,5.2748025e-08,2.529629e-08,3.4040788e-08,2.5026656e-08,3.044061e-08,2.1500759e-08,6.640426e-09
29.5,78.125,7.986214e-09,1.2726916e-08,1.5661763e-08,3.360619e-08,3.7977447e-08,4.9057235e-08,2.4400906e-08,3.2043626e-08,2.1572548e-08,2.7587145e-08,1.7987258e-08,6.089727e-09
29.5,78.75,6.5726247e-09,1.1496338e-08,1.4013289e-08,3.3431693e-08,3.771915e-08,4.4107825e-08,2.1153438e-08,2.8156219e-08,1.859077e-08,2.5365866e-08,1.5630757e-08,4.6294453e-09
29.5,79.375,5.4735296e-09,9.231518e-09,1.2905847e-08,3.196571e-08,3.504148e-08,4.043665e-08,1.6576939e-08,2.4977922e-08,1.617964e-08,2.1634298e-08,1.2032918e-08,3.252918e-09
29.5,80.0,4.4937254e-09,7.1653727e-09,1.1884748e-08,3.0102818e-08,3.272796e-08,3.9895955e-08,1.9465764e-08,2.0547336e-08,1.3540076e-08,1.690073e-08,7.583882e-09,2.4421363e-09
29.5,80.625,3.2960639e-09,5.6377303e-09,1.1126288e-08,2.8810245e-08,3.2437743e-08,3.4906346e-08,1.0646609e-08,1.3237481e-08,8.252954e-09,1.0910988e-08,3.890341e-09,1.4899174e-09
29.5,81.25,2.5192526e-09,4.4484603e-09,9.966595e-09,2.4859522e-08,2.6972561e-08,2.9881736e-08,2.6635423e-09,7.047021e-09,4.439023e-09,6.5131007e-09,2.0318642e-09,9.337535e-10
