lat,lon,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
29.0,72.5,1.6390503e-08,1.6479918e-08,2.4055842e-08,4.6148003e-08,1.6905993e-07,1.4212273e-07,1.1432184e-07,4.5017128e-08,6.0242925e-08,3.5270673e-08,4.3904585e-08,2.722945e-08
29.0,73.125,1.5469919e-08,1.5347943e-08,2.1837261e-08,4.277099e-08,1.506433e-07,1.2215314e-07,8.8185075e-08,3.3098903e-08,4.2555076e-08,2.8781693e-08,4.0955758e-08,2.356847e-08
29.0,73.75,1.5739804e-08,1.7295829e-08,2.2065985e-08,3.636269e-08,1.2384407e-07,9.678794e-08,6.4823034e-08,2.5947239e-08,3.1261575e-08,2.5435222e-08,3.747882e-08,2.0989495e-08
29.0,74.375,1.5699698e-08,1.790632e-08,2.0937449e-08,3.1694558e-08,9.571475e-08,7.2615514e-08,4.9179782e-08,2.170044e-08,2.6889545e-08,2.4435247e-08,3.482431e-08,2.0097135e-08
29.0,75.0,1.5632189e-08,1.6198477e-08,1.907539e-08,3.0523974e-08,7.4739106e-08,5.7973374e-08,3.9935635e-08,1.82344e-08,2.4818565e-08,2.4324876e-08,3.4849656e-08,2.0735893e-08
29.0,75.625,1.567479e-08,1.4738425e-08,1.6222188e-08,3.050336e-08,6.1511884e-08,4.930104e-08,3.3668204e-08,1.5032693e-08,2.3044079e-08,2.4638153e-08,3.5792375e-08,2.1816138e-08
29.0,76.25,1.5933585e-08,1.4103973e-08,1.4244066e-08,3.046686e-08,5.2422806e-08,4.366399e-08,3.0726632e-08,1.2302397e-08,2.0725292e-08,2.5480228e-08,3.7806362e-08,2.2977709e-08
29.0,76.875,1.6199744e-08,1.3454845e-08,1.33210465e-08,2.9822573e-08,4.8740937e-08,4.4212477e-08,2.9066065e-08,1.047592e-08,1.845977e-08,2.7859377e-08,3.9055035e-08,2.4655874e-08
29.0,77.5,1.63396e-08,1.27570114e-08,1.2282873e-08,2.830487e-08,4.3421743e-08,4.3626155e-08,2.5243532e-08,9.7231805e-09,1.708789e-08,3.173142e-08,3.803446e-08,2.5960968e-08
29.0,78.125,1.5388006e-08,1.178335e-08,1.20453185e-08,2.7984607e-08,3.861609e-08,4.2684892e-08,2.0000833e-08,9.1230605e-09,1.5568352e-08,3.307609e-08,3.1671032e-08,2.480468e-08
29.0,78.75,1.3648141e-08,1.0580717e-08,1.2242122e-08,2.622431e-08,3.7420953e-08,4.1983004e-08,1.7333626e-08,7.455664e-09,1.5923229e-08,2.8614405e-08,2.3212003e-08,2.1209534e-08
29.0,79.375,1.2018386e-08,9.1829175e-09,1.2052448e-08,2.48135e-08,3.4895375e-08,4.077277e-08,1.5612871e-08,6.538625e-09,1.7033905e-08,2.3068335e-08,1.6558442e-08,1.6418491e-08
29.0,80.0,1.0486415e-08,7.738247e-09,1.1549938e-08,2.3398025e-08,3.2232492e-08,4.03236e-08,1.2982193e-08,5.5880345e-09,1.5835857e-08,1.788841e-08,1.1299865e-08,1.1926996e-08
29.0,80.625,8.05469e-09,5.7104663e-09,1.073016e-08,2.243678e-08,3.1557587e-08,4.150691e-08,1.0711911e-08,4.33002e-09,1.336244e-08,1.3095344e-08,6.467917e-09,6.4244063e-09
29.0,81.25,6.0032375e-09,4.319104e-09,9.847158e-09,2.2147166e-08,3.0504804e-08,4.3927137e-08,9.00593e-09,3.1415406e-09,1.00927044e-08,9.393158e-09,3.0056906e-09,2.6428228e-09
29.5,72.5,1.5616024e-08,1.5260632e-08,1.9384325e-08,3.5217816e-08,1.3607215e-07,9.8843884e-08,9.6846044e-08,3.7103923e-08,4.7096e-08,3.2296217e-08,4.748775e-08,2.4738608e-08
29.5,73.125,1.4884702e-08,1.4032061e-08,1.830326e-08,3.4190695e-08,1.2374409e-07,9.0377334e-08,8.133746e-08,3.001309e-08,3.8090274e-08,2.8300072e-08,4.645408e-08,2.398989e-08
