lat,lon,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
29.0,72.5,1.098718e-08,3.9587484e-08,3.0565126e-08,3.9645844e-08,7.2024e-08,1.4792604e-07,1.2251773e-07,5.5177694e-08,4.3544667e-08,3.1145266e-08,8.84905e-09
29.0,73.125,9.750854e-09,3.3603758e-08,2.9432657e-08,3.5456832e-08,6.002219e-08,1.13494025e-07,9.34855e-08,4.1812346e-08,3.603139e-08,2.8126093e-08,7.7736635e-09
29.0,73.75,9.26781e-09,3.1318358e-08,3.0245452e-08,3.3532707e-08,5.2187158e-08,8.6717044e-08,6.536931e-08,3.3531837e-08,2.964686e-08,2.4523146e-08,7.120995e-09
29.0,74.375,8.4906615e-09,3.0584363e-08,2.9392288e-08,2.9234554e-08,4.7512003e-08,7.155492e-08,4.722519e-08,2.8164175e-08,2.2926148e-08,2.2266484e-08,6.861198e-09
29.0,75.0,7.707645e-09,3.1137837e-08,2.7362999e-08,2.4680048e-08,4.3465633e-08,6.635273e-08,3.6699344e-08,2.3246157e-08,1.8396955e-08,2.0153934e-08,6.855832e-09
29.0,75.625,7.0172796e-09,3.069601e-08,2.4609987e-08,2.223866e-08,3.903598e-08,6.306436e-08,3.1702402e-08,2.0280588e-08,1.5649304e-08,1.816126e-08,6.6158767e-09
29.0,76.25,6.60833e-09,2.8859333e-08,2.1675664e-08,2.0306349e-08,3.3989167e-08,5.8730073e-08,2.822438e-08,1.9673779e-08,1.5548983e-08,1.6232896e-08,6.0090617e-09
29.0,76.875,6.2900654e-09,2.6823695e-08,1.7205586e-08,1.826611e-08,3.171895e-08,5.1263367e-08,2.7262544e-08,1.6930082e-08,1.6888212e-08,1.5369581e-08,5.7783534e-09
29.0,77.5,5.7782694e-09,2.4480274e-08,1.5521143e-08,1.7311747e-08,2.9685907e-08,4.4530193e-08,2.812583e-08,1.38891725e-08,1.6899016e-08,1.5312311e-08,5.9051977e-09
29.0,78.125,5.335712e-09,2.408367e-08,1.4654042e-08,1.6559898e-08,2.8686637e-08,4.1416932e-08,2.5896695e-08,1.3645281e-08,1.5121156e-08,1.5216608e-08,6.0321934e-09
29.0,78.75,4.9715623e-09,2.28376e-08,1.4110429e-08,1.6187915e-08,3.011871e-08,3.9832717e-08,2.7251314e-08,1.3409099e-08,1.2776721e-08,1.5071207e-08,5.9526126e-09
29.0,79.375,4.386772e-09,2.0057307e-08,1.3318083e-08,1.6202648e-08,3.0726603e-08,3.70687e-08,1.6979477e-08,1.1242359e-08,1.0392822e-08,1.3674517e-08,5.3913025e-09
29.0,80.0,3.9067345e-09,1.6912336e-08,1.2009709e-08,1.6020325e-08,3.2015034e-08,3.4249265e-08,1.3781306e-08,9.2933945e-09,8.037469e-09,1.3124478e-08,4.811924e-09
29.0,80.625,2.993455e-09,1.2467667e-08,1.0395569e-08,1.4977498e-08,3.357127e-08,3.2577372e-08,1.1131261e-08,6.1930647e-09,5.476418e-09,1.11565805e-08,3.837916e-09
29.0,81.25,2.0949458e-09,9.788484e-09,8.78874e-09,1.4083647e-08,3.1328867e-08,3.1009645e-08,8.300989e-09,4.3358033e-09,3.470557e-09,8.925121e-09,2.9001663e-09
29.5,72.5,9.987344e-09,3.548936e-08,2.5609141e-08,3.607347e-08,5.698084e-08,1.3096651e-07,1.0820546e-07,4.455996e-08,3.8594287e-08,2.3289754e-08,8.318269e-09
29.5,73.125,9.1751e-09,3.0390797e-08,2.4705631e-08,3.3342438e-08,4.9763326e-08,1.02737005e-07,8.1814626e-08,3.616057e-08,3.286441e-08,2.2877078e-08,7.3184006e-09
29.5,73.75,8.757554e-09,2.9428614e-08,2.6274774e-08,3.1382054e-08,4.3441926e-08,8.162145e-08,5.9503954e-08,3.104962e-08,2.7944528e-08,2.1875225e-08,6.7362484e-09
29.5,74.375,8.1964835e-09,2.98037e-08,2.5555861e-08,2.7320372e-08,4.0572147e-08,7.10935e-08,4.397096e-08,2.5651447e-08,2.3322658e-08,2.0215133e-08,6.4689023e-09
29.5,75.0,7.569211e-09,2.982666e-08,2.4516105e-08,2.2525091e-08,3.7019603e-08,6.6235835e-08,3.479844e-08,2.0934925e-08,1.9830411e-08,1.863584e-08,6.4033583e-09
29.5,75.625,6.9667e-09,2.8379747e-08,2.2381608e-08,1.9619316e-08,3.4405186e-08,6.072454e-08,3.0689403e-08,1.9212372e-08,1.7966666e-08,1.746664e-08,6.1804104e-09
29.5,76.25,6.6009513e-09,2.664669e-08,1.99062e-08,1.8509127e-08,3.379389e-08,5.5116228e-08,2.8086253e-08,1.832359e-08,1.8094761e-08,1.6431752e-08,5.8211906e-09
29.5,76.875,6.052042e-09,2.5195638e-08,1.5981348e-08,1.7519232e-08,3.1994265e-08,4.796093e-08,2.7111772e-08,1.6583066e-08,1.8115754e-08,1.5364359e-08,5.820554e-09
29.5,77.5,5.394499e-09,2.3554847e-08,1.447452e-08,1.647016e-08,2.8899517e-08,4.3347125e-08,2.5966514e-08,1.4912075e-08,1.6674456e-08,1.4438668e-08,5.9139285e-09
29.5,78.125,4.8662736e-09,2.3263809e-08,1.3470966e-08,1.5840609e-08,2.859686e-08,4.1350965e-08,2.3533351e-08,1.4197095e-08,1.2772597e-08,1.2829919e-08,5.9127463e-09
29.5,78.75,4.3773025e-09,2.1462444e-08,1.272612e-08,1.575827e-08,2.9026847e-08,4.005184e-08,2.667075e-08,1.2138783e-08,1.0144492e-08,1.18534444e-08,5.6268314e-09
29.5,79.375,3.769687e-09,1.7560462e-08,1.0949612e-08,1.4976044e-08,2.8825232e-08,3.578534e-08,1.9949237e-08,7.83181e-09,7.569745e-09,1.0034939e-08,4.771027e-09
29.5,80.0,3.2469034e-09,1.3153551e-08,9.21657e-09,1.4091166e-08,3.1496683e-08,3.2523893e-08,1.1909287e-08,5.0732845e-09,4.9411333e-09,8.886878e-09,3.8052805e-09
29.5,80.625,2.4413844e-09,9.264207e-09,8.290425e-09,1.2920646e-08,3.3096452e-08,3.0430783e-08,7.635387e-09,3.0744158e-09,2.6312104e-09,6.243285e-09,2.7461435e-09
29.5,81.25,1.5993245e-09,7.628042e-09,6.971754e-09,1.1623949e-08,2.8661757e-08,2.5038116e-08,4.042735e-09,1.5704243e-09,1.2128644e-09,3.752612e-09,1.8497682e-09
30.0,72.5,9.305579e-09,3.245165e-08,2.368911e-08,2.7393737e-08,4.4675552e-08,1.052962e-07,8.740702e-08,3.633795e-08,3.190371e-08,2.0306963e-08,7.2893425e-09
30.0,73.125,8.825826e-09,2.9038597e-08,2.2246944e-08,2.8580205e-08,4.2333163e-08,9.0809046e-08,7.081243e-08,3.1201594e-08,2.8443417e-08,1.9895872e-08,6.795911e-09
30.0,73.75,8.455088e-09,2.8195213e-08,2.312534e-08,2.7630085e-08,3.9360582e-08,7.7213436e-08,5.225147e-08,2.7713213e-08,2.5461183e-08,1.9135769e-08,6.445589e-09
30.0,74.375,8.070827e-09,2.9123651e-08,2.3984255e-08,2.4502576e-08,3.839781e-08,6.8932664e-08,4.0159296e-08,2.362923e-08,2.3146306e-08,1.8075943e-08,6.1906578e-09
30.0,75.0,7.526465e-09,2.8799244e-08,2.311114e-08,2.0532024e-08,3.6246004e-08,6.0875024e-08,3.443781e-08,2.0490623e-08,2.0601115e-08,1.7395994e-08,6.0947363e-09
30.0,75.625,7.0399877e-09,2.6856187e-08,2.1180988e-08,1.8156062e-08,3.564832e-08,5.363545e-08,3.1092867e-08,1.8429002e-08,1.9261703e-08,1.6851235e-08,5.9232357e-09
30.0,76.25,6.5708794e-09,2.4450856e-08,1.897288e-08,1.6575965e-08,3.553214e-08,4.8866543e-08,2.7868971e-08,1.6694083e-08,1.852853e-08,1.5402263e-08,5.683023e-09
30.0,76.875,5.5101004e-09,2.2929177e-08,1.501027e-08,1.6059797e-08,3.188313e-08,4.5458062e-08,2.5984615e-08,1.609169e-08,1.5734e-08,1.2569627e-08,5.6656972e-09
30.0,77.5,4.7192725e-09,2.2940656e-08,1.277356e-08,1.5680174e-08,2.8220741e-08,4.037138e-08,2.5799071e-08,1.5064533e-08,1.0903538e-08,9.908387e-09,5.423923e-09
30.0,78.125,4.3492037e-09,2.1806734e-08,1.211576e-08,1.5056624e-08,2.8468005e-08,3.6746375e-08,2.5245054e-08,1.30803235e-08,9.388176e-09,9.661797e-09,5.2204085e-09
30.0,78.75,3.788588e-09,1.7635417e-08,1.0693487e-08,1.4340973e-08,2.7950943e-08,3.390972e-08,2.4232133e-08,8.858115e-09,7.990745e-09,8.858699e-09,4.655976e-09
30.0,79.375,2.8886284e-09,1.1911339e-08,8.708529e-09,1.2774096e-08,2.7911748e-08,2.9718043e-08,1.7309176e-08,5.3486393e-09,4.4642756e-09,6.4728445e-09,3.4568681e-09
30.0,80.0,2.1093198e-09,7.9142195e-09,7.1062414e-09,1.133103e-08,2.916157e-08,2.5423226e-08,6.2350227e-09,3.984942e-09,1.9773079e-09,4.051843e-09,2.0529494e-09
30.0,80.625,1.7090854e-09,6.292684e-09,6.3345205e-09,9.995044e-09,2.7665537e-08,2.1113388e-08,2.8436093e-09,2.1859041e-09,8.9036356e-10,2.6455624e-09,1.4713123e-09
30.0,81.25,1.3951117e-09,4.6285207e-09,4.959005e-09,8.380599e-09,2.1027166e-08,1.6102028e-08,1.3445266e-09,9.292592e-10,4.246432e-10,1.7352962e-09,1.1396158e-09
30.5,72.5,9.102113e-09,2.8380626e-08,2.3285528e-08,2.2024688e-08,3.893283e-08,7.657824e-08,6.875193e-08,2.9665399e-08,2.9473714e-08,1.8815626e-08,6.605099e-09
30.5,73.125,8.618207e-09,2.7236418e-08,2.0764643e-08,2.3216307e-08,3.6349864e-08,7.486451e-08,6.123446e-08,2.782514e-08,2.7470652e-08,1.8109859e-08,6.6036896e-09
30.5,73.75,8.35478e-09,2.636782e-08,2.0459993e-08,2.3971916e-08,3.5027046e-08,6.8323665e-08,4.908408e-08,2.5229676e-08,2.5329943e-08,1.7773639e-08,6.432477e-09
30.5,74.375,8.082269e-09,2.7167548e-08,2.2219366e-08,2.1789674e-08,3.5260463e-08,6.055804e-08,4.0409027e-08,2.228039e-08,2.3672131e-08,1.7489759e-08,6.269238e-09
30.5,75.0,7.540621e-09,2.6936787e-08,2.1460144e-08,1.8819629e-08,3.6337774e-08,5.2570854e-08,3.6201644e-08,2.055546e-08,2.1231472e-08,1.7038415e-08,6.1552026e-09
30.5,75.625,7.0947923e-09,2.5153613e-08,1.9822378e-08,1.676514e-08,3.8070745e-08,4.7834572e-08,3.3207176e-08,1.8310343e-08,1.903333e-08,1.6055457e-08,5.920568e-09
30.5,76.25,6.3112626e-09,2.2397655e-08,1.7191152e-08,1.5800227e-08,3.793297e-08,4.549438e-08,3.1574164e-08,1.6396429e-08,1.6618923e-08,1.3686839e-08,5.6398677e-09
30.5,76.875,4.903159e-09,2.1115017e-08,1.3577934e-08,1.5559635e-08,3.2748734e-08,4.186689e-08,3.1885182e-08,1.537662e-08,1.1848564e-08,1.0194335e-08,5.1895466e-09
30.5,77.5,4.149599e-09,1.9878874e-08,1.1290086e-08,1.47130175e-08,2.8368724e-08,3.477471e-08,3.2325328e-08,1.2115892e-08,6.4421006e-09,6.3713625e-09,4.088906e-09
30.5,78.125,3.4223113e-09,1.6240707e-08,9.575703e-09,1.3222719e-08,2.7342345e-08,2.8231444e-08,2.6232135e-08,7.907e-09,4.8276037e-09,5.4102025e-09,3.3198526e-09
30.5,78.75,2.431391e-09,9.6818065e-09,7.552869e-09,1.1531483e-08,2.602211e-08,2.4099124e-08,1.21711885e-08,4.8059534e-09,2.884042e-09,4.118353e-09,2.0558977e-09
30.5,79.375,1.8752093e-09,6.6748838e-09,6.30395e-09,9.370706e-09,2.3185779e-08,1.9307937e-08,6.2141594e-09,3.2597685e-09,1.8251985e-09,2.72756e-09,1.2814174e-09
30.5,80.0,1.5165008e-09,4.4192503e-09,4.8007016e-09,7.492235e-09,1.9286041e-08,1.4504849e-08,2.8992233e-09,1.877911e-09,7.739871e-10,1.9616884e-09,9.016456e-10
30.5,80.625,1.4153828e-09,4.2516133e-09,4.5528865e-09,7.340107e-09,1.677566e-08,1.3611725e-08,2.4995024e-09,1.4490529e-09,4.549636e-10,1.6735501e-09,9.0087726e-10
30.5,81.25,1.3006233e-09,3.7156231e-09,4.3502086e-09,6.818482e-09,1.5660442e-08,1.2258367e-08,2.504928e-09,1.3778753e-09,3.8095951e-10,1.2682891e-09,8.626368e-10
