lat,lon,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
29.0,72.5,2.507062e-08,7.760662e-07,1.9691859e-06,1.7382246e-07,3.2399917e-08,2.021199e-05,2.9589057e-05,6.4585397e-06,1.8579807e-06,9.703127e-14,1.8558202e-12,5.0713735e-09
29.0,73.125,5.208593e-09,5.0819074e-07,3.1940795e-06,5.910123e-08,5.075279e-09,9.815763e-05,3.538289e-05,8.4630865e-06,2.1688065e-06,4.5872028e-14,1.681917e-11,1.1665472e-08
29.0,73.75,2.1703947e-08,1.5200314e-07,2.804207e-06,3.428111e-09,2.3182752e-08,0.0001147583,5.541727e-05,1.104778e-05,6.7513342e-06,3.5236805e-10,6.658249e-11,1.579188e-08
29.0,74.375,8.356695e-08,3.7063304e-09,2.1406456e-06,1.2763433e-09,1.0655192e-07,4.840818e-05,5.105611e-05,1.7064647e-05,2.127867e-05,4.176555e-08,9.023424e-09,1.0299224e-07
29.0,75.0,5.9910883e-07,2.0849033e-08,2.3984119e-06,4.4425125e-10,2.0533497e-07,3.088324e-05,6.476281e-05,2.5264253e-05,4.8315964e-05,2.3031065e-07,1.6132926e-08,2.689546e-07
29.0,75.625,2.6981127e-06,4.7674834e-07,1.9236745e-06,1.6224476e-10,2.4530888e-07,3.8786377e-05,0.00010062983,4.6130022e-05,0.000101795726,9.394314e-07,1.7596172e-07,3.2480548e-07
29.0,76.25,8.298678e-06,1.771969e-05,1.0839815e-06,1.345993e-08,2.777853e-07,4.5381516e-05,0.00012805974,6.3780295e-05,0.00014812204,1.4180117e-06,6.906995e-07,1.794368e-07
29.0,76.875,9.320304e-06,4.290077e-05,3.2204048e-07,1.4355879e-08,2.1247622e-07,3.5069905e-05,0.00016455541,0.00012036293,0.00019683484,3.5190144e-06,1.1202176e-06,7.442626e-07
29.0,77.5,7.515993e-06,2.5219473e-05,7.226491e-08,3.6108705e-07,5.737533e-07,2.9467303e-05,0.00022220769,0.00023739561,0.00026316778,6.0707675e-06,2.1569824e-06,1.1487732e-06
29.0,78.125,3.5738583e-06,2.2423794e-05,1.09906594e-07,5.4013657e-07,4.1206504e-06,2.8368178e-05,0.0002517317,0.00029190653,0.00024047434,5.763851e-06,2.2603126e-06,3.390754e-06
29.0,78.75,4.503035e-06,1.6958322e-05,6.514131e-07,1.8526796e-06,3.4437177e-05,4.1286494e-05,0.00032788984,0.00045435491,0.0002916274,5.961516e-06,5.3306835e-06,1.6119864e-05
29.0,79.375,6.1650308e-06,1.326554e-05,1.8715284e-06,3.954227e-06,5.6849698e-05,4.4264547e-05,0.00027413867,0.00059548166,0.00019408949,5.926366e-06,8.816999e-06,1.1273008e-05
29.0,80.0,7.968326e-06,7.504908e-06,4.405344e-06,5.7571315e-06,2.132847e-05,5.756896e-05,0.00032322042,0.0006055928,0.00015118154,5.6170943e-06,9.592187e-06,7.0844285e-06
29.0,80.625,1.1320661e-05,8.919326e-06,3.973021e-06,1.3265948e-05,8.981361e-06,0.00014438335,0.00074676675,0.00087952614,0.00025313732,1.3819644e-05,5.555828e-06,1.1793493e-05
29.0,81.25,1.256609e-05,1.579987e-05,1.2406455e-05,3.2758388e-05,3.9961047e-05,0.00030108736,0.0009087944,0.0010187606,0.00031581707,2.4498657e-05,7.099201e-06,2.5410229e-05
29.5,72.5,3.867993e-08,2.923503e-06,2.0208156e-06,2.3513967e-06,2.3488672e-08,1.7361679e-05,2.8139619e-05,4.6390564e-06,1.7215411e-06,1.5462204e-13,1.4786014e-11,2.181567e-08
29.5,73.125,1.9931154e-08,1.0041762e-06,3.9820284e-06,3.2290666e-07,4.68505e-09,5.565661e-05,3.0662617e-05,6.991598e-06,2.286142e-06,2.2713328e-13,1.2367146e-11,3.501038e-08
29.5,73.75,8.748011e-08,1.6868535e-07,4.6882e-06,2.3787273e-07,8.88062e-08,9.252758e-05,4.223734e-05,9.445746e-06,6.096311e-06,8.629035e-10,2.6574685e-11,4.8299356e-08
29.5,74.375,1.801613e-07,2.6743677e-07,3.2479663e-06,4.2103161e-07,5.9370217e-07,3.206438e-05,4.4240263e-05,1.3959875e-05,1.8934972e-05,7.136294e-08,1.1048658e-10,1.8542922e-07
29.5,75.0,1.2116822e-06,6.6190694e-07,3.465848e-06,2.6764377e-07,1.2752226e-06,4.331748e-05,5.830813e-05,2.0376305e-05,4.050705e-05,4.0290044e-07,4.2485535e-09,3.531778e-07
29.5,75.625,3.7318569e-06,4.6076065e-07,3.939247e-06,4.730926e-08,1.5162698e-06,3.577643e-05,9.523254e-05,4.2468735e-05,7.2397466e-05,1.3227676e-06,1.6913356e-07,3.122128e-07
29.5,76.25,1.349355e-05,2.7724023e-05,3.1685236e-06,3.5389002e-07,1.840553e-06,3.1151605e-05,0.00015068492,7.8596575e-05,0.00013427659,2.771422e-06,5.566757e-07,4.4305804e-07
29.5,76.875,1.4545592e-05,6.0647304e-05,1.5350662e-06,4.825922e-07,2.3077073e-06,3.0971307e-05,0.00021523944,0.0001984485,0.00022499402,4.3086698e-06,1.9527813e-06,1.6880922e-06
29.5,77.5,1.418206e-05,4.8402446e-05,6.9916365e-07,2.251506e-07,1.8635396e-06,3.1789004e-05,0.00023422744,0.00025468488,0.00033306333,4.6719992e-06,2.8264506e-06,3.7111176e-06
29.5,78.125,1.3871074e-05,2.9786886e-05,6.364744e-07,1.0506868e-06,3.8589133e-06,3.5006527e-05,0.00032743477,0.0002810895,0.0002639435,5.7240823e-06,6.2392364e-06,1.1023745e-05
29.5,78.75,1.618442e-05,1.6758997e-05,4.260652e-06,7.50001e-06,6.0914617e-06,6.4115055e-05,0.00039343355,0.00042108278,0.00025193917,4.382951e-06,1.5878257e-05,1.3616187e-05
29.5,79.375,2.6378142e-05,3.1624142e-05,1.9851977e-05,2.0067866e-05,7.660208e-06,0.00010595701,0.000550802,0.0008130881,0.00030815267,7.0428764e-06,2.5937e-05,2.316951e-05
29.5,80.0,4.120252e-05,4.438067e-05,3.9205843e-05,2.6473628e-05,1.1439205e-05,0.00017955656,0.00087844254,0.0014429515,0.00038186013,1.8050543e-05,3.4830322e-05,3.3646593e-05
29.5,80.625,3.916291e-05,4.6743116e-05,3.4876746e-05,7.9828176e-05,7.039072e-05,0.00026286268,0.0008655702,0.0014368065,0.00028117895,2.1460573e-05,2.5860489e-05,2.2223554e-05
29.5,81.25,3.7422542e-05,8.7453154e-05,7.531624e-05,0.00018565632,0.00023654879,0.00066613505,0.00094753166,0.0012626878,0.000296833,3.35026e-05,3.8160302e-05,5.1411673e-05
30.0,72.5,1.5107418e-07,4.9322957e-06,2.0089274e-06,4.326428e-05,1.6277216e-05,1.903573e-05,2.6309024e-05,4.9228097e-06,1.3067448e-06,2.709441e-13,1.7288553e-11,4.13049e-08
30.0,73.125,6.9269376e-08,1.4988816e-06,4.5144143e-06,2.193942e-05,1.5975638e-05,2.4750632e-05,3.117916e-05,7.246411e-06,3.2854275e-06,3.8729e-11,1.9004591e-10,7.045881e-08
30.0,73.75,1.4275054e-07,3.2634776e-07,5.8884016e-06,1.76157e-05,1.1402495e-05,5.5929475e-05,3.9417784e-05,7.821645e-06,6.5930794e-06,4.040443e-09,8.9047304e-11,1.1375394e-07
30.0,74.375,2.8453255e-07,1.3290717e-06,4.081861e-06,1.7325812e-05,6.926522e-06,5.04847e-05,4.377417e-05,1.1383875e-05,1.956664e-05,6.998071e-08,2.7482902e-10,3.322296e-07
30.0,75.0,2.9111911e-06,6.9223406e-06,2.0210384e-06,8.341808e-06,4.09839e-06,5.6337176e-05,5.143524e-05,1.9713467e-05,4.3492088e-05,3.9108738e-07,1.7425661e-08,4.3058412e-07
30.0,75.625,7.912764e-06,4.455201e-06,2.4873823e-06,3.082368e-06,3.8613884e-06,3.3582448e-05,7.962465e-05,3.9509323e-05,8.7968976e-05,1.1999318e-06,2.3931378e-07,3.351708e-07
30.0,76.25,2.096188e-05,1.0618421e-05,3.704127e-06,2.786459e-06,5.104691e-06,2.7179183e-05,0.00014914059,9.94377e-05,0.00015136774,3.0915612e-06,1.3189266e-06,8.7313055e-07
30.0,76.875,2.4826451e-05,7.6030185e-05,4.415834e-06,1.6136705e-06,1.19205815e-05,3.099628e-05,0.00025693828,0.00024444133,0.00027071536,4.5652773e-06,2.927573e-06,2.6615592e-06
30.0,77.5,2.7902664e-05,8.787727e-05,2.5428837e-06,9.2205266e-07,5.652817e-06,4.298614e-05,0.00032446565,0.00041078837,0.00052650267,6.4046435e-06,3.0185017e-06,1.0963658e-05
30.0,78.125,3.180729e-05,5.953347e-05,7.6311635e-06,9.723565e-06,8.365279e-06,7.608694e-05,0.0004481856,0.00037873225,0.000400189,6.075139e-06,6.9330563e-06,2.2916212e-05
30.0,78.75,3.8134607e-05,4.609088e-05,3.073057e-05,3.580845e-05,1.1814361e-05,0.0002171651,0.0010196123,0.0008848656,0.00048934954,1.1900332e-05,3.8804625e-05,5.2582716e-05
30.0,79.375,3.7336056e-05,7.277196e-05,6.564596e-05,8.371937e-05,4.4584314e-05,0.0002944462,0.0011489806,0.0011576837,0.00047571387,1.799055e-05,6.170313e-05,6.132273e-05
30.0,80.0,3.6666315e-05,8.814113e-05,0.00011690514,0.00012846677,9.661106e-05,0.0002902617,0.0009966028,0.0011832368,0.0002632418,2.1727534e-05,3.9949842e-05,3.723799e-05
30.0,80.625,4.45877e-05,0.00012230373,0.00016250783,0.00031069675,0.00031076255,0.0005687048,0.0010894609,0.0014140145,0.00027169002,4.7588244e-05,4.0355142e-05,3.8692935e-05
30.0,81.25,3.767221e-05,0.00013965885,0.00017965499,0.0003400395,0.0003605479,0.0006372988,0.0008189058,0.0012697558,0.00024468367,3.9357317e-05,3.7652044e-05,5.349453e-05
30.5,72.5,1.4072624e-07,1.0325145e-05,5.869103e-07,6.4539614e-05,2.993653e-05,2.577735e-05,3.9510014e-05,6.64571e-06,1.1038131e-06,1.295879e-13,1.406718e-10,6.2457794e-08
30.5,73.125,1.0099436e-07,2.3745333e-06,2.1539936e-06,4.822945e-05,3.6440524e-05,2.4277262e-05,4.3226883e-05,7.8467765e-06,3.958466e-06,2.8994949e-11,1.9362039e-09,1.0685896e-07
30.5,73.75,1.5580805e-07,9.824956e-07,3.889878e-06,4.75075e-05,3.5247245e-05,3.3787313e-05,4.0799176e-05,7.521104e-06,7.626138e-06,3.5869743e-09,9.98443e-09,3.0181974e-07
30.5,74.375,4.0625844e-07,3.4844231e-06,5.203417e-06,4.387463e-05,3.1090385e-05,5.587196e-05,4.55752e-05,1.2074632e-05,1.9207619e-05,7.6967225e-08,1.4875896e-08,8.4413523e-07
30.5,75.0,5.608495e-06,2.4215657e-05,4.945974e-06,1.91903e-05,2.6223166e-05,6.4528205e-05,5.3329037e-05,1.936944e-05,4.723533e-05,2.887935e-07,4.462679e-08,7.636587e-07
30.5,75.625,1.606087e-05,1.6291007e-05,3.3931326e-06,1.11153595e-05,2.2133932e-05,3.7832062e-05,6.9957314e-05,3.5628076e-05,0.00010894411,1.232245e-06,3.716944e-07,7.723572e-07
30.5,76.25,2.9442563e-05,3.7821762e-06,1.0659729e-05,1.4687611e-05,2.2040595e-05,2.876508e-05,0.00016600099,0.00010503365,0.00019269402,3.4748548e-06,2.6315774e-06,1.0764873e-06
30.5,76.875,3.185593e-05,5.0965886e-05,1.5989088e-05,1.1153279e-05,3.756211e-05,4.1357645e-05,0.0003700588,0.00021626879,0.00031665698,4.0857035e-06,4.8471607e-06,3.7292477e-06
