lat,lon,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
29.0,72.5,1.3021434e-08,4.9859783e-09,4.0609742e-09,4.181072e-09,4.1694976e-09,3.5590193e-09,2.30498e-09,1.7455865e-09,3.2448606e-09,1.1261887e-08,1.3265273e-08,1.5551919e-08
29.0,73.125,1.3589311e-08,4.8666884e-09,4.1580406e-09,4.4662514e-09,4.1795167e-09,3.7899097e-09,2.5403926e-09,1.9069595e-09,2.9231495e-09,1.165737e-08,1.3517203e-08,1.6540099e-08
29.0,73.75,1.4683931e-08,5.028059e-09,4.1103654e-09,4.6071627e-09,4.149973e-09,3.9774473e-09,2.9616536e-09,2.1486466e-09,2.7186118e-09,1.215636e-08,1.4467807e-08,1.7994587e-08
29.0,74.375,1.5890508e-08,5.30232e-09,4.008414e-09,4.7237294e-09,4.1159547e-09,4.0362464e-09,3.695634e-09,2.3889624e-09,2.8771443e-09,1.2922038e-08,1.580064e-08,1.9734598e-08
29.0,75.0,1.7702515e-08,5.7231238e-09,3.971396e-09,4.8318682e-09,4.170818e-09,4.6840642e-09,4.3287596e-09,2.7912817e-09,3.1590195e-09,1.3083311e-08,1.7509521e-08,2.1923956e-08
29.0,75.625,1.9314257e-08,6.2437446e-09,4.050691e-09,5.0384754e-09,4.337167e-09,5.198111e-09,4.86432e-09,3.3755403e-09,3.279467e-09,1.240257e-08,1.9183355e-08,2.3919739e-08
29.0,76.25,2.0403538e-08,6.2845094e-09,4.190313e-09,5.4307403e-09,4.6799293e-09,6.0930536e-09,5.769832e-09,4.139831e-09,3.875868e-09,1.1585315e-08,2.0055262e-08,2.5197727e-08
29.0,76.875,2.2552058e-08,6.992161e-09,5.1228533e-09,5.98629e-09,5.7843788e-09,6.7233787e-09,7.1727424e-09,5.408569e-09,5.2502056e-09,1.1730247e-08,1.9121751e-08,2.6421848e-08
29.0,77.5,2.2560625e-08,6.9729644e-09,5.264676e-09,5.709728e-09,5.6585163e-09,6.5505295e-09,6.4839027e-09,4.720272e-09,5.5705143e-09,9.873587e-09,1.6863599e-08,2.4435511e-08
29.0,78.125,1.9831084e-08,6.715772e-09,5.1280753e-09,5.5001044e-09,5.3363207e-09,6.111334e-09,5.5051546e-09,4.0630597e-09,4.7181814e-09,8.76107e-09,1.6280552e-08,2.0876804e-08
29.0,78.75,1.717982e-08,5.8320357e-09,4.5586437e-09,5.5574327e-09,5.2509748e-09,5.9849143e-09,4.4873714e-09,3.87566e-09,4.4933692e-09,7.625933e-09,1.3847592e-08,1.671044e-08
