lat,lon,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12
29.0,72.5,-265.17616,-264.5296799999999,-258.03989999999993,-250.11026999999996,-245.36609999999996,-241.28437999999994,-240.16989999999993,-243.16843999999998,-247.35871999999995,-252.87445999999994,-257.73535999999996,-262.77414999999996
29.0,73.125,-265.27326999999997,-264.50311999999997,-258.10492999999997,-250.47537999999997,-245.68915999999996,-241.46459999999996,-240.47937999999994,-244.12155999999993,-248.45456999999993,-253.51685999999995,-257.80683999999997,-263.12683999999996
29.0,73.75,-265.36045999999993,-264.57196999999996,-258.29947999999996,-250.57746999999995,-245.95479999999998,-241.69061999999997,-240.87099999999998,-244.35794999999996,-248.36133999999993,-253.46973999999994,-257.99357,-263.43881999999996
29.0,74.375,-265.48267999999996,-264.71082999999993,-258.38465999999994,-250.68112999999994,-246.07829999999996,-241.91406999999998,-241.34427999999997,-244.96631999999994,-248.73892999999998,-253.78827999999993,-258.55749999999995,-263.79581999999994
29.0,75.0,-265.66696999999994,-264.89629999999994,-258.44136,-250.88369999999998,-246.27484999999996,-242.02709999999996,-241.79236999999995,-245.45979999999997,-249.18009999999998,-254.11136999999997,-259.26478,-264.09131999999994
29.0,75.625,-265.96283999999997,-265.0189,-258.61045999999993,-251.00403999999997,-246.63172999999995,-242.04009999999994,-242.37451999999996,-245.81662999999998,-249.61759999999998,-254.47327999999993,-259.83928,-264.20951999999994
29.0,76.25,-266.35542,-264.97673,-258.90732999999994,-251.19205999999997,-246.91144999999995,-242.01929999999993,-243.22635999999994,-246.25714999999997,-250.16184999999996,-255.09522999999996,-260.39809999999994,-264.40719999999993
29.0,76.875,-266.53766999999993,-264.9145,-259.11778,-251.12644999999998,-246.89079999999996,-241.97605999999996,-243.72333999999995,-246.63065999999998,-250.59076999999996,-255.68897999999996,-260.83559999999994,-264.85579999999993
29.0,77.5,-266.15674999999993,-264.56996,-258.94715999999994,-250.95401999999996,-246.82776999999993,-241.98229999999995,-244.45619999999997,-247.38769999999994,-250.90586999999994,-256.5703,-261.06672,-264.98596999999995
29.0,78.125,-265.72139999999996,-263.87665999999996,-259.10542,-250.57175999999993,-246.77939999999995,-242.32553999999993,-245.06153999999998,-247.61149999999998,-250.83606999999995,-256.68949999999995,-261.10099999999994,-265.30049999999994
29.0,78.75,-264.29965999999996,-262.33516,-258.35642999999993,-250.33267999999998,-246.76879999999994,-242.95105999999993,-245.04944999999998,-247.34989999999993,-250.25247999999993,-254.93269999999995,-259.91815999999994,-264.26291999999995
29.0,79.375,-264.05369999999994,-261.80283999999995,-258.1964,-250.92539999999997,-247.24309999999997,-243.59793999999994,-245.90476999999993,-247.76519999999994,-249.97537999999997,-254.11439999999993,-258.75305999999995,-262.56256999999994
29.0,80.0,-264.65727,-262.09525999999994,-258.68003999999996,-252.04413999999997,-248.53443999999996,-244.58283999999998,-246.91132999999996,-248.53789999999998,-250.27954999999997,-254.98636999999997,-259.18889999999993,-261.8529
29.0,80.625,-266.3423599999999,-264.20099999999996,-261.53509999999994,-255.49674999999996,-252.62061999999997,-248.16979999999995,-249.56959999999998,-250.69061999999997,-252.32175999999993,-256.75679999999994,-260.47702999999996,-262.09683999999993
29.0,81.25,-268.64603999999997,-266.93242,-264.22502,-258.05557999999996,-255.12641999999994,-250.45053999999993,-251.47937999999994,-252.56309999999996,-254.10479999999995,-258.8049,-262.89252999999997,-264.92447999999996
29.5,72.5,-265.68999999999994,-265.21082999999993,-258.59205,-250.64932999999996,-245.87919999999997,-241.21249999999998,-240.18097999999998,-242.73549999999994,-247.75092999999998,-253.31674999999996,-258.08559999999994,-263.335
29.5,73.125,-265.73563999999993,-265.06427999999994,-258.59104999999994,-250.78736999999995,-246.00821999999994,-241.38074999999998,-240.41837999999996,-243.42801999999995,-248.37122999999997,-253.57959999999997,-257.98313999999993,-263.6886999999999
29.5,73.75,-265.81015999999994,-265.16114999999996,-258.69336999999996,-250.90924999999993,-246.13019999999995,-241.54166999999995,-240.85989999999998,-243.76673999999997,-248.39154999999994,-253.68772999999993,-258.15459999999996,-263.9813
29.5,74.375,-266.05695999999995,-265.26499999999993,-258.86447999999996,-251.03109999999998,-246.28391999999997,-241.75781999999998,-241.60839999999996,-244.70877999999993,-249.01081999999997,-254.26105999999993,-258.63289999999995,-264.22324999999995
29.5,75.0,-266.31452999999993,-265.30835999999994,-258.89549999999997,-251.26862999999997,-246.50619999999998,-241.83335999999997,-242.27625999999998,-245.46732999999995,-249.67435999999998,-254.79079999999993,-259.20761999999996,-264.35074999999995
29.5,75.625,-266.49433999999997,-265.3029599999999,-258.94766999999996,-251.42121999999995,-246.85349999999994,-241.86979999999994,-242.84781999999996,-245.80957999999998,-250.05559999999997,-255.13254999999998,-259.70709999999997,-264.37647999999996
29.5,76.25,-266.63715999999994,-265.16571999999996,-259.03284999999994,-251.43112999999994,-247.04401999999993,-242.03543999999994,-243.36545999999993,-246.17599999999993,-250.26679999999993,-255.37546999999995,-260.25971999999996,-264.57541999999995
29.5,76.875,-266.39629999999994,-264.86009999999993,-259.17322999999993,-251.28632999999996,-247.07829999999996,-242.40991999999994,-244.04691999999994,-246.83075999999994,-250.73449999999997,-255.88227999999998,-260.49576999999994,-264.65494999999993
29.5,77.5,-265.83696,-264.24909999999994,-259.04292,-251.00196999999997,-247.08383999999995,-242.93335999999994,-245.14972999999998,-247.62763999999993,-250.97122999999993,-256.58639999999997,-260.917,-264.77955
29.5,78.125,-264.49659999999994,-262.66785999999996,-258.6208,-250.65769999999998,-246.97849999999994,-243.37604999999996,-245.65174999999994,-247.62662999999998,-250.47749999999996,-255.23181999999997,-260.0037,-264.34696999999994
29.5,78.75,-264.58203999999995,-262.39629999999994,-258.67423999999994,-252.23526999999996,-248.42049999999995,-245.03385999999995,-246.77019999999993,-248.46329999999995,-250.66339999999997,-254.68973999999997,-258.8422699999999,-262.45053999999993
29.5,79.375,-268.37021999999996,-265.98816999999997,-262.304,-257.02381999999994,-253.34439999999995,-249.44219999999996,-250.54892999999993,-251.64627999999993,-253.24231999999995,-258.27266,-261.87179999999995,-263.95786999999996
29.5,80.0,-269.85126999999994,-267.8657299999999,-264.40845999999993,-259.43711999999994,-256.10901999999993,-251.91562999999996,-252.66535999999996,-253.48902999999996,-255.07331999999997,-260.36159999999995,-263.48841999999996,-265.3341199999999
29.5,80.625,-272.86002999999994,-270.05902999999995,-266.6852999999999,-262.01289999999995,-258.91522999999995,-254.39999999999998,-254.34427999999997,-255.35822999999993,-256.74076999999994,-262.16353,-265.52299999999997,-267.73691999999994
29.5,81.25,-278.09299999999996,-275.07599999999996,-272.02389999999997,-266.98657999999995,-264.61984999999993,-260.07761999999997,-258.32035999999994,-259.06006999999994,-260.80533999999994,-266.8271,-271.00343,-272.84342999999996
30.0,72.5,-266.50965999999994,-265.53734,-258.92598,-251.21237999999994,-246.33182999999997,-241.42761999999993,-240.32413999999994,-242.37559999999996,-248.15821999999997,-253.53099999999995,-258.31217999999996,-263.63667
30.0,73.125,-266.30197999999996,-265.25311999999997,-258.81131999999997,-251.03269999999998,-246.17557999999997,-241.57031999999998,-240.51969999999994,-242.78891999999996,-248.21445999999997,-253.64261999999997,-258.12781999999993,-264.04114999999996
30.0,73.75,-266.26435999999995,-265.51483999999994,-258.88489999999996,-251.12174999999996,-246.31012999999996,-241.84741999999994,-241.15375999999998,-243.38569999999993,-248.69831999999997,-254.14185999999995,-258.30889999999994,-264.35164
30.0,74.375,-266.46256999999997,-265.65842999999995,-258.98875,-251.35871999999995,-246.52739999999994,-242.01981999999998,-242.11999999999995,-244.54999999999995,-249.41339999999997,-254.82759999999996,-258.71608,-264.48697999999996
30.0,75.0,-266.69776999999993,-265.66839999999996,-258.95975999999996,-251.51444999999995,-246.76325999999995,-241.98804999999993,-242.74951999999996,-245.30857999999995,-249.79049999999995,-255.24494999999996,-259.16907999999995,-264.54759999999993
30.0,75.625,-266.91419999999994,-265.61316999999997,-259.06409999999994,-251.50351999999998,-246.90286999999995,-241.94687999999996,-242.99347999999998,-245.55252999999993,-249.96027999999995,-255.31599999999997,-259.751,-264.59144
30.0,76.25,-266.68733,-265.10483999999997,-258.96153,-251.38839999999993,-247.01074999999997,-242.37345999999997,-243.46927999999997,-246.05051999999995,-250.10819999999995,-255.33817999999997,-260.1321,-264.64032999999995
30.0,76.875,-265.70993999999996,-264.21489999999994,-258.98267999999996,-251.26081999999997,-247.06467999999995,-243.12709999999993,-244.55045999999993,-246.99051999999995,-250.61887999999993,-255.45737999999994,-259.91776999999996,-263.96176999999994
30.0,77.5,-264.51575999999994,-262.87799999999993,-259.0157,-251.23789999999997,-247.50469999999996,-243.88281999999998,-245.84279999999995,-247.82219999999995,-250.45743999999996,-255.27997999999997,-260.19617999999997,-263.89673999999997
30.0,78.125,-265.11779999999993,-262.75339999999994,-258.92472999999995,-252.75089999999994,-248.64127999999994,-245.11304999999993,-247.13309999999996,-248.77529999999996,-250.67591999999996,-254.95559999999995,-259.55057999999997,-262.92459999999994
30.0,78.75,-268.81677999999994,-266.63877999999994,-262.93028,-257.58737999999994,-254.23755999999997,-249.98126999999994,-251.44659999999993,-252.32419999999996,-253.79676999999998,-258.87522999999993,-262.37195999999994,-264.26847999999995
30.0,79.375,-273.42252999999994,-271.18747999999994,-267.18744999999996,-262.31287999999995,-259.16095999999993,-254.95001999999994,-255.12529999999998,-255.68054999999998,-257.32251999999994,-263.23447999999996,-266.12369999999993,-268.39039999999994
30.0,80.0,-277.07439999999997,-274.51096999999993,-270.71806,-265.82694999999995,-262.95957999999996,-258.85053999999997,-257.58371999999997,-258.2143,-260.08475999999996,-266.10972,-269.20642999999995,-271.5876999999999
30.0,80.625,-285.03327999999993,-280.43854999999996,-276.84659999999997,-272.81861999999995,-270.42529999999994,-266.0651,-262.65302999999994,-263.27277999999995,-265.70117999999997,-271.80177,-275.25415999999996,-277.64209999999997
30.0,81.25,-293.78216,-288.20816999999994,-284.37979999999993,-278.37161999999995,-277.13409999999993,-273.39115999999996,-268.1154599999999,-268.57519999999994,-271.5950399999999,-277.84754999999996,-282.66254999999995,-285.44303999999994
30.5,72.5,-267.18906999999996,-265.7907799999999,-259.32847,-251.50037999999995,-246.69219999999996,-241.68646999999993,-240.64267999999993,-242.14426999999995,-247.86652999999995,-253.38101999999998,-258.93339999999995,-263.94046999999995
30.5,73.125,-267.01126999999997,-265.56204999999994,-259.20093999999995,-251.42435999999998,-246.47039999999993,-241.91303999999997,-240.94007999999997,-242.55199999999996,-248.04987999999997,-253.56929999999994,-258.66792,-264.36019999999996
30.5,73.75,-266.87033999999994,-265.80283999999995,-259.114,-251.52329999999995,-246.54703999999998,-242.12811999999997,-241.46524999999997,-243.24707999999998,-248.68059999999997,-254.40899999999993,-258.72156999999993,-264.65669999999994
30.5,74.375,-266.83744999999993,-265.94899999999996,-259.06759999999997,-251.68787999999995,-246.66949999999997,-242.17969999999997,-242.20919999999995,-244.28082999999998,-249.22382999999996,-254.99091999999996,-259.04825999999997,-264.67182999999994
30.5,75.0,-267.0020999999999,-265.96124999999995,-259.13642999999996,-251.76339999999993,-246.78241999999995,-242.12345999999997,-242.86444999999998,-245.00916999999993,-249.60871999999995,-255.38907999999998,-259.48197999999996,-264.6858
30.5,75.625,-267.13289999999995,-265.85144999999994,-259.28433999999993,-251.69049999999993,-246.91547999999995,-242.23749999999995,-243.19459999999998,-245.37207999999998,-249.76289999999995,-255.40396999999996,-259.99655999999993,-264.79544999999996
