lat,lon,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
29.0,72.5,4.684437,5.216447,5.244496,5.2922406,5.0528674,5.5407176,5.5918546,5.0131106,4.8866234,4.664311,4.095972,4.2379994
29.0,73.125,4.310587,4.954156,5.3450737,5.15352,5.4588337,5.491238,5.3968253,4.8616805,4.5128603,4.4955387,4.311638,4.2552624
29.0,73.75,4.090876,4.6808867,5.0180516,4.8260136,5.277634,5.391759,5.1479435,4.804819,4.273456,4.039421,4.1572638,4.0888214
29.0,74.375,3.9255536,4.4521775,4.97209,4.5938683,4.8682814,5.2221465,5.1916213,4.6512785,4.1616883,3.4381185,3.8205574,3.7765262
29.0,75.0,3.733403,4.1263084,4.6354437,4.191915,4.622101,5.117736,5.1782484,4.436876,3.8450055,2.8465343,3.4391446,3.5867739
29.0,75.625,3.5800629,3.9705553,4.0814333,3.737244,4.4761677,4.7687774,4.9195857,4.394931,3.3325543,2.408105,3.1719244,3.785646
29.0,76.25,3.7992933,4.4176188,4.0274863,3.837602,4.4849486,4.23533,4.691369,4.2942505,2.9727888,2.5254815,3.4949794,4.522258
29.0,76.875,4.3144145,5.1482983,4.38264,4.4276733,4.646948,3.6937773,4.607944,4.304268,3.0934267,3.328909,4.215707,5.4640894
29.0,77.5,4.755537,5.517127,4.5043797,4.8561893,4.7603393,4.0170197,4.565172,4.272388,3.3559513,4.065536,4.5430183,5.9409747
29.0,78.125,4.6786094,4.994523,4.637665,4.803178,5.0859756,4.299865,4.4579473,4.4745994,3.1263735,3.7184627,4.057748,5.425287
29.0,78.75,4.353414,4.515208,4.94703,4.5609903,5.008938,4.1013947,4.294617,4.5674515,3.0250676,3.0947227,3.3677416,4.8030353
29.0,79.375,4.7901735,4.607173,5.338931,4.953113,5.0402036,3.8242948,4.021857,4.558174,3.109947,3.7376318,3.5491054,4.246158
29.0,80.0,4.6943445,4.7213635,4.954685,5.0670614,4.786833,3.2122018,3.4566634,3.724678,2.9536808,4.148796,4.0677576,4.018729
29.0,80.625,3.2952611,3.2877529,3.7506466,4.085649,3.8028357,2.3574655,2.5082164,2.6985629,2.0344505,3.1330767,3.1068366,2.6415243
29.0,81.25,3.3223372,3.4271572,3.8025463,3.7792604,3.4388142,1.8947295,2.2328022,1.9087129,1.573212,2.939796,3.2018235,3.0493965
29.5,72.5,4.2973247,4.835251,5.300278,5.352983,4.8945065,5.044298,5.588578,4.9117293,4.8771996,4.538366,3.7661464,3.5900972
29.5,73.125,3.9808867,4.6325808,5.3549185,5.1067915,5.267585,5.10644,5.161521,4.9836087,4.724628,4.4138384,4.043067,3.6572123
29.5,73.75,4.032408,4.4038796,5.1532106,4.774044,5.02765,4.9138784,5.010863,4.9200063,4.3520045,3.8527954,4.049211,3.5983665
29.5,74.375,3.9895458,4.279755,5.1489425,4.461837,4.6185646,4.8638783,5.1195445,4.674826,3.9873476,3.1721942,3.7828946,3.6275058
29.5,75.0,3.9743028,4.100876,4.775108,3.999988,4.466552,4.816401,5.077726,4.4470034,3.552761,2.6267684,3.4816127,3.919246
29.5,75.625,4.013271,4.2489176,4.272525,3.8691857,4.4477134,4.5810575,4.8567705,4.288832,3.142743,2.3239355,3.3021858,4.518115
29.5,76.25,4.2863617,4.864388,4.1941004,4.2660933,4.5133953,4.0980577,4.678741,4.065719,2.9453638,2.6595619,3.6882656,5.3346
29.5,76.875,4.8800015,5.4878473,4.5157676,4.907459,4.6101694,3.6181426,4.631177,4.039273,3.093915,3.3739567,4.3951178,6.1651034
29.5,77.5,4.8157687,5.2639365,4.4965434,4.9507937,4.7497234,3.9806752,4.618418,3.961463,3.2472801,3.382596,4.1461105,5.6915574
29.5,78.125,4.1966124,4.1292634,4.3520203,4.2397747,4.742856,4.2680774,4.2959085,4.1802287,2.6928408,2.7409236,3.1715176,3.9545283
29.5,78.75,4.234982,4.2239227,4.512507,3.9565961,4.349884,3.1335073,3.5523036,3.7259855,2.7147079,3.2737489,3.4321783,3.8450904
29.5,79.375,3.9904633,3.6380527,4.103548,3.5885785,3.5729024,2.5493438,2.8692768,3.2909741,2.2915063,2.9438124,3.117823,2.962136
