lat,lon,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12
29.0,72.5,1.7538227e-08,2.807516e-08,7.094035e-08,4.5530516e-08,1.1495121e-07,2.4672966e-07,1.6825933e-07,9.1590344e-08,4.140223e-08,2.1279712e-08,1.673161e-08,2.0724686e-08
29.0,73.125,1.6169173e-08,2.5191499e-08,6.832429e-08,3.8605503e-08,8.539862e-08,2.0297156e-07,1.3942824e-07,6.5336195e-08,2.9350618e-08,1.9270374e-08,1.43250265e-08,1.9574848e-08
29.0,73.75,1.6822307e-08,2.4437558e-08,6.3781634e-08,3.4379386e-08,6.615254e-08,1.611775e-07,1.1940175e-07,5.198839e-08,2.5489298e-08,1.8409699e-08,1.3871977e-08,2.0240071e-08
29.0,74.375,1.6614825e-08,2.3165269e-08,5.7784366e-08,3.044115e-08,5.71158e-08,1.2634797e-07,1.0043474e-07,4.4104507e-08,2.3767848e-08,1.8241765e-08,1.4399605e-08,2.1399648e-08
29.0,75.0,1.4843951e-08,2.217022e-08,5.465793e-08,2.72886e-08,5.4088062e-08,1.05669216e-07,8.124851e-08,3.8263412e-08,2.2395671e-08,1.8496541e-08,1.5309706e-08,2.190744e-08
29.0,75.625,1.3408989e-08,2.13592e-08,5.295712e-08,2.5444752e-08,5.1836153e-08,9.465803e-08,6.467147e-08,3.330294e-08,2.1068171e-08,1.8967013e-08,1.627656e-08,2.2000032e-08
29.0,76.25,1.237504e-08,2.1600185e-08,5.0659207e-08,2.4506638e-08,4.692535e-08,8.292967e-08,5.4420465e-08,2.6852156e-08,1.9099351e-08,1.9372354e-08,1.8322924e-08,2.2922993e-08
29.0,76.875,1.1041874e-08,2.090508e-08,4.9879976e-08,2.4366576e-08,4.1687482e-08,7.098958e-08,4.8296897e-08,2.2372395e-08,1.7073557e-08,1.9594037e-08,1.997117e-08,2.4400306e-08
29.0,77.5,1.0215309e-08,1.892025e-08,4.8622056e-08,2.3166649e-08,3.793699e-08,5.9060405e-08,3.722862e-08,2.0964118e-08,1.5749425e-08,1.9906668e-08,2.1755477e-08,2.3994875e-08
29.0,78.125,9.931506e-09,1.7145544e-08,4.159002e-08,2.132001e-08,3.338051e-08,5.1639653e-08,3.1189252e-08,1.9621028e-08,1.30776066e-08,1.8173113e-08,2.1195593e-08,2.0374735e-08
29.0,78.75,9.0770795e-09,1.5223561e-08,3.5579372e-08,2.1154603e-08,3.0835157e-08,4.6598142e-08,2.7489925e-08,1.7322332e-08,9.8836885e-09,1.45231045e-08,1.6023598e-08,1.6457e-08
29.0,79.375,7.5388895e-09,1.2901213e-08,3.0892483e-08,2.0553307e-08,3.280389e-08,4.319627e-08,2.43994e-08,1.3486622e-08,8.316845e-09,1.1213894e-08,1.2277329e-08,1.11423075e-08
29.0,80.0,6.765452e-09,1.1141279e-08,2.6951087e-08,1.9492715e-08,3.5175734e-08,4.226434e-08,2.2502098e-08,1.0994001e-08,7.93001e-09,9.279428e-09,1.0274652e-08,7.688971e-09
29.0,80.625,5.53418e-09,1.0328787e-08,2.323401e-08,1.8222742e-08,3.5599147e-08,4.314182e-08,2.0334777e-08,7.466822e-09,8.20569e-09,7.679186e-09,7.2587074e-09,4.3904977e-09
29.0,81.25,4.7143693e-09,9.7944035e-09,2.0287072e-08,1.7086071e-08,3.4511864e-08,4.36897e-08,1.9764915e-08,4.5742508e-09,5.946915e-09,6.668408e-09,4.795356e-09,2.27681e-09
29.5,72.5,1.6126984e-08,2.4078528e-08,5.5257377e-08,3.8228368e-08,8.935791e-08,1.9351768e-07,1.5216962e-07,8.626346e-08,3.6773205e-08,2.0146658e-08,1.7685549e-08,2.2229225e-08
29.5,73.125,1.4931908e-08,2.2494753e-08,5.4486243e-08,3.4276795e-08,6.889323e-08,1.5913102e-07,1.298654e-07,6.3761355e-08,2.8928442e-08,1.8898126e-08,1.6059008e-08,2.12208e-08
29.5,73.75,1.4867891e-08,2.1660902e-08,5.333805e-08,3.157026e-08,5.6292205e-08,1.288184e-07,1.13883345e-07,5.114168e-08,2.6454904e-08,1.851426e-08,1.5662227e-08,2.1794897e-08
29.5,74.375,1.5663494e-08,2.0592967e-08,4.987e-08,2.8683038e-08,5.116301e-08,1.08506356e-07,9.684889e-08,4.3542087e-08,2.4706257e-08,1.853515e-08,1.6431295e-08,2.2781903e-08
29.5,75.0,1.4430102e-08,1.9738293e-08,5.011926e-08,2.6271664e-08,4.966592e-08,9.570455e-08,7.878454e-08,3.739971e-08,2.3106804e-08,1.8564489e-08,1.7426768e-08,2.3035506e-08
29.5,75.625,1.2835728e-08,1.9353294e-08,5.260447e-08,2.4985518e-08,4.7483194e-08,8.565403e-08,6.6352804e-08,3.3006796e-08,2.1674479e-08,1.8723386e-08,1.8862556e-08,2.2378265e-08
29.5,76.25,1.169462e-08,1.9947915e-08,5.123471e-08,2.4263743e-08,4.2143228e-08,7.3404955e-08,5.8484616e-08,2.6696192e-08,1.9808848e-08,1.8748851e-08,2.088212e-08,2.3496003e-08
29.5,76.875,1.0296155e-08,1.9274262e-08,4.8394742e-08,2.3637039e-08,3.6350624e-08,6.065505e-08,4.87314e-08,2.2535078e-08,1.7541108e-08,1.8588194e-08,2.0691369e-08,2.4448568e-08
29.5,77.5,9.331386e-09,1.7286045e-08,4.450281e-08,2.1697694e-08,3.3179923e-08,5.194185e-08,3.614919e-08,2.1303505e-08,1.5805306e-08,1.7693017e-08,1.8957628e-08,2.1588852e-08
29.5,78.125,8.757583e-09,1.4842138e-08,3.636195e-08,2.0403725e-08,2.8914597e-08,4.4685535e-08,3.0506374e-08,2.0610756e-08,1.1894429e-08,1.413126e-08,1.5198323e-08,1.5790413e-08
29.5,78.75,7.683763e-09,1.2877504e-08,3.0574924e-08,2.0103046e-08,2.8380107e-08,4.0344336e-08,2.8209012e-08,1.8342e-08,8.789464e-09,1.1897247e-08,1.2048198e-08,1.0552486e-08
29.5,79.375,6.527385e-09,1.0845505e-08,2.5253822e-08,1.815976e-08,2.9018748e-08,3.8264382e-08,2.5032536e-08,1.2539625e-08,6.4805734e-09,9.415618e-09,9.6321555e-09,6.278836e-09
29.5,80.0,5.329243e-09,9.203459e-09,2.1480446e-08,1.6664368e-08,2.9765063e-08,3.708301e-08,2.0957435e-08,8.212882e-09,7.351313e-09,6.9396204e-09,6.872748e-09,3.752575e-09
29.5,80.625,3.9230286e-09,9.175876e-09,1.9237866e-08,1.5582524e-08,3.0886557e-08,3.651403e-08,1.5461454e-08,4.230823e-09,5.2351257e-09,4.8482964e-09,4.3519472e-09,2.3120896e-09
29.5,81.25,3.56003e-09,7.999469e-09,1.6774369e-08,1.4095758e-08,2.958334e-08,3.3779603e-08,1.0999795e-08,1.6767571e-09,2.3847628e-09,3.4810983e-09,2.6796974e-09,1.4662485e-09
30.0,72.5,1.4778937e-08,2.235701e-08,4.8721102e-08,3.465199e-08,6.283775e-08,1.3258833e-07,1.216397e-07,7.511165e-08,2.9747177e-08,1.8632084e-08,1.852944e-08,2.2499373e-08
30.0,73.125,1.3825493e-08,2.1048844e-08,4.8485692e-08,3.265183e-08,5.6057146e-08,1.1804756e-07,1.13216835e-07,5.9364186e-08,2.597601e-08,1.7952605e-08,1.8040737e-08,2.1284025e-08
30.0,73.75,1.3694467e-08,1.9869136e-08,4.8575465e-08,3.027029e-08,5.0938276e-08,1.0331035e-07,1.0114558e-07,4.895986e-08,2.4237695e-08,1.7783732e-08,1.8425272e-08,2.0858586e-08
30.0,74.375,1.4390876e-08,1.891034e-08,4.7549204e-08,2.8404125e-08,4.8184912e-08,9.127883e-08,8.669728e-08,4.226023e-08,2.2918972e-08,1.790226e-08,1.9908354e-08,2.1451928e-08
30.0,75.0,1.3705146e-08,1.8518692e-08,4.838676e-08,2.6861017e-08,4.587051e-08,7.992979e-08,7.094464e-08,3.6549512e-08,2.1765322e-08,1.799931e-08,2.1872983e-08,2.2086462e-08
30.0,75.625,1.2526119e-08,1.86119e-08,5.0353616e-08,2.536023e-08,4.190752e-08,7.040119e-08,6.130693e-08,3.212083e-08,2.0915483e-08,1.8111853e-08,2.2990571e-08,2.2204697e-08
30.0,76.25,1.1031995e-08,1.8609265e-08,4.884855e-08,2.4109855e-08,3.6077953e-08,6.0116875e-08,5.254472e-08,2.6125617e-08,1.9838106e-08,1.8232964e-08,2.1978485e-08,2.3166356e-08
30.0,76.875,9.142769e-09,1.760857e-08,4.4275374e-08,2.2644356e-08,3.1572405e-08,5.169495e-08,4.2029864e-08,2.267866e-08,1.8333141e-08,1.7092633e-08,1.7405545e-08,2.024547e-08
30.0,77.5,7.827786e-09,1.4917847e-08,3.5355992e-08,2.0085084e-08,2.7239397e-08,4.335901e-08,3.3870023e-08,2.2059384e-08,1.5169185e-08,1.2746363e-08,1.1935966e-08,1.4694677e-08
30.0,78.125,7.363885e-09,1.2536725e-08,3.0439644e-08,1.8749052e-08,2.4749346e-08,3.6933123e-08,2.9250112e-08,2.0639808e-08,1.0295695e-08,1.07315685e-08,1.0360236e-08,1.03394875e-08
