lat,lon,2014-01,2014-02,2014-03,2014-04,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12
29.0,72.5,5.9260623e-09,2.2885356e-08,2.968309e-08,3.640974e-08,2.7739492e-07,1.5468099e-07,1.0995245e-07,1.03907766e-07,3.774837e-08,2.6387958e-08,2.264454e-08
29.0,73.125,5.13676e-09,2.2291715e-08,2.6614632e-08,2.9253352e-08,2.3035537e-07,1.2060909e-07,8.4171795e-08,7.730696e-08,3.5858502e-08,2.4354813e-08,1.994604e-08
29.0,73.75,4.5407402e-09,2.2038355e-08,2.6441533e-08,2.5342889e-08,1.8226469e-07,9.677059e-08,6.313818e-08,5.3980255e-08,3.5533898e-08,2.4451099e-08,1.8865384e-08
29.0,74.375,3.950856e-09,2.0062544e-08,2.5301203e-08,2.3375105e-08,1.3887112e-07,7.8552176e-08,5.1011504e-08,3.897538e-08,3.5934313e-08,2.581049e-08,1.8597113e-08
29.0,75.0,3.4875258e-09,1.9190727e-08,2.2797922e-08,2.1420176e-08,1.0750979e-07,6.2286425e-08,4.413461e-08,3.3688714e-08,3.72407e-08,2.8158562e-08,1.8762993e-08
29.0,75.625,3.1636844e-09,1.9097895e-08,2.1530145e-08,1.9372418e-08,8.757755e-08,4.986366e-08,3.7802238e-08,2.9323163e-08,3.7576566e-08,3.0376274e-08,1.931497e-08
29.0,76.25,2.9513745e-09,1.7815703e-08,2.0038632e-08,1.8088697e-08,7.0268285e-08,4.1016097e-08,2.9571662e-08,2.3546075e-08,3.6703216e-08,3.233205e-08,2.0150647e-08
29.0,76.875,2.8583451e-09,1.7446771e-08,1.8094486e-08,1.7914227e-08,5.7787112e-08,3.9929606e-08,2.4774284e-08,2.0390681e-08,3.5537774e-08,3.4014494e-08,2.0536508e-08
29.0,77.5,2.7140614e-09,1.7540644e-08,1.715706e-08,1.814495e-08,5.01881e-08,4.185175e-08,2.3345144e-08,1.9916074e-08,3.324074e-08,3.39113e-08,2.0511864e-08
29.0,78.125,2.624312e-09,1.6850988e-08,1.5959813e-08,1.759472e-08,4.8488438e-08,4.2988674e-08,2.1091447e-08,1.8892532e-08,2.900507e-08,3.0560233e-08,1.9099506e-08
29.0,78.75,2.5260116e-09,1.4657417e-08,1.4148687e-08,1.6067832e-08,4.8480434e-08,4.2269704e-08,2.0729614e-08,1.7793832e-08,2.4487822e-08,2.3637888e-08,1.4188763e-08
29.0,79.375,2.256977e-09,1.1972328e-08,1.2442181e-08,1.4446838e-08,4.8062066e-08,3.899086e-08,2.13645e-08,1.7674505e-08,2.0321632e-08,1.5855402e-08,9.085647e-09
29.0,80.0,1.8334166e-09,9.774404e-09,1.1511328e-08,1.3387368e-08,4.7445063e-08,3.5370835e-08,2.097435e-08,1.673612e-08,1.7579902e-08,9.496822e-09,5.5185794e-09
29.0,80.625,1.4737995e-09,7.785616e-09,1.0215005e-08,1.2714796e-08,4.9396963e-08,3.2287467e-08,1.880812e-08,1.5163543e-08,1.4632772e-08,6.6337935e-09,3.4835261e-09
29.0,81.25,1.2319399e-09,6.4345125e-09,9.239395e-09,1.2564806e-08,5.4326545e-08,3.1164706e-08,1.7320827e-08,1.351436e-08,1.2495074e-08,4.94274e-09,2.2341655e-09
29.5,72.5,4.5057247e-09,2.0890573e-08,2.5007818e-08,2.7152783e-08,2.2264308e-07,1.2863424e-07,9.9258735e-08,7.909806e-08,3.582142e-08,2.801377e-08,2.4128484e-08
29.5,73.125,4.235062e-09,2.148902e-08,2.4022395e-08,2.372617e-08,1.8182278e-07,1.0238681e-07,8.056785e-08,6.714851e-08,3.65469e-08,2.6498189e-08,2.2499139e-08
29.5,73.75,3.863959e-09,2.1660137e-08,2.345839e-08,2.2092536e-08,1.4365482e-07,8.499469e-08,6.384606e-08,5.3834142e-08,3.744161e-08,2.7074202e-08,2.178234e-08
29.5,74.375,3.4202428e-09,2.0202865e-08,2.3258302e-08,2.0929958e-08,1.10474986e-07,7.057573e-08,5.1719738e-08,4.289894e-08,3.7258065e-08,2.9028161e-08,2.1120403e-08
29.5,75.0,3.0273448e-09,1.9506322e-08,2.1716504e-08,1.9284046e-08,8.8427136e-08,5.5514267e-08,4.2470116e-08,3.56201e-08,3.669946e-08,3.1398788e-08,2.0922133e-08
29.5,75.625,2.7106257e-09,1.9604872e-08,2.0506818e-08,1.7355356e-08,7.447015e-08,4.492053e-08,3.5057734e-08,2.9337617e-08,3.587235e-08,3.254342e-08,2.1024114e-08
29.5,76.25,2.6752809e-09,1.840395e-08,1.9813253e-08,1.678424e-08,6.447056e-08,4.0156493e-08,2.994875e-08,2.38463e-08,3.3965343e-08,3.2485453e-08,2.1072523e-08
29.5,76.875,2.728634e-09,1.7302584e-08,1.8148585e-08,1.674288e-08,5.7325572e-08,4.089977e-08,2.698641e-08,2.2110134e-08,3.0861443e-08,3.141031e-08,2.023614e-08
29.5,77.5,2.6336509e-09,1.7012812e-08,1.6034685e-08,1.6579596e-08,5.1554768e-08,4.2192237e-08,2.5155156e-08,2.0964709e-08,2.961303e-08,2.8153348e-08,1.863402e-08
29.5,78.125,2.5128826e-09,1.5043108e-08,1.3863047e-08,1.5434155e-08,4.9369312e-08,4.336468e-08,2.3605846e-08,1.8919142e-08,2.5219085e-08,2.1521798e-08,1.4295262e-08
29.5,78.75,2.2680158e-09,1.21768995e-08,1.1954457e-08,1.3460067e-08,4.640266e-08,4.1680998e-08,2.324375e-08,1.850909e-08,2.1273433e-08,1.5874926e-08,8.446947e-09
29.5,79.375,1.760217e-09,9.198191e-09,1.0092311e-08,1.1650809e-08,4.2360504e-08,3.7146904e-08,2.0359039e-08,1.6211986e-08,1.7668137e-08,1.1043752e-08,5.3194293e-09
29.5,80.0,1.3094047e-09,6.2821885e-09,9.0856025e-09,1.0769024e-08,4.0641073e-08,3.39369e-08,1.7454319e-08,1.33556535e-08,1.40353515e-08,5.9185368e-09,3.127789e-09
29.5,80.625,1.1555057e-09,4.9273985e-09,8.163265e-09,1.0045111e-08,4.3405088e-08,3.0110282e-08,1.3092589e-08,1.1045715e-08,1.0670295e-08,4.0229073e-09,2.0327482e-09
29.5,81.25,9.692316e-10,4.5173425e-09,7.206011e-09,9.900964e-09,5.1666213e-08,2.2789301e-08,8.470376e-09,7.172786e-09,6.827159e-09,2.4397422e-09,1.2929595e-09
30.0,72.5,3.9264205e-09,1.9237632e-08,2.3235302e-08,2.370125e-08,1.5615417e-07,1.03022984e-07,8.456247e-08,5.355726e-08,3.449602e-08,2.8581901e-08,2.4734852e-08
30.0,73.125,3.866915e-09,2.0460448e-08,2.2116682e-08,2.1394468e-08,1.3187164e-07,8.408578e-08,7.4403005e-08,5.1605397e-08,3.6203286e-08,2.850029e-08,2.4279167e-08
30.0,73.75,3.5277576e-09,2.0873813e-08,2.1489834e-08,1.9739415e-08,1.0615307e-07,7.150788e-08,6.1397465e-08,4.605498e-08,3.641077e-08,2.9352668e-08,2.386209e-08
30.0,74.375,3.1999619e-09,2.0168759e-08,2.1382924e-08,1.8669077e-08,8.7235335e-08,5.9444808e-08,5.0614613e-08,3.818092e-08,3.5601026e-08,3.007202e-08,2.3157261e-08
30.0,75.0,2.8620037e-09,1.9971464e-08,2.07444e-08,1.786614e-08,7.50127e-08,4.7970683e-08,4.14259e-08,3.0564934e-08,3.4163673e-08,3.0694356e-08,2.2580114e-08
30.0,75.625,2.6242444e-09,2.0218197e-08,1.9927205e-08,1.6688606e-08,6.843499e-08,4.353358e-08,3.5329997e-08,2.5426168e-08,3.2778424e-08,3.025634e-08,2.17814e-08
30.0,76.25,2.671907e-09,1.8768073e-08,1.9328288e-08,1.586313e-08,6.2281714e-08,4.309613e-08,3.185523e-08,2.2651891e-08,2.9896324e-08,2.8346403e-08,2.0323334e-08
30.0,76.875,2.6733644e-09,1.6536367e-08,1.7286267e-08,1.5592702e-08,5.579835e-08,4.4340766e-08,2.9197949e-08,2.3472678e-08,2.393837e-08,2.3872417e-08,1.6464318e-08
30.0,77.5,2.433375e-09,1.4150503e-08,1.3233911e-08,1.34699345e-08,4.885357e-08,4.432361e-08,2.6995739e-08,1.9248553e-08,1.9018092e-08,1.5336143e-08,1.1768451e-08
30.0,78.125,2.114399e-09,1.1974147e-08,1.1136029e-08,1.147558e-08,4.483154e-08,4.1082814e-08,2.5569006e-08,1.6823284e-08,1.875953e-08,1.2833698e-08,7.755496e-09
30.0,78.75,1.6836728e-09,9.462188e-09,1.00130375e-08,1.0426205e-08,4.1030944e-08,3.7979003e-08,2.3801741e-08,1.53899e-08,1.6858893e-08,1.0251885e-08,5.166722e-09
30.0,79.375,1.2551871e-09,5.928212e-09,8.069873e-09,9.129796e-09,3.616345e-08,3.1979976e-08,1.69963e-08,1.16973835e-08,1.2156401e-08,5.378494e-09,2.6855105e-09
30.0,80.0,1.0293499e-09,4.3581077e-09,7.2026918e-09,8.450237e-09,3.274193e-08,2.6394497e-08,1.1039843e-08,7.742636e-09,7.839595e-09,2.6588927e-09,1.8226549e-09
30.0,80.625,9.0780405e-10,3.2723821e-09,6.235723e-09,7.455234e-09,2.4752808e-08,1.4977049e-08,4.8985282e-09,4.0079287e-09,5.180368e-09,2.418369e-09,1.5466691e-09
30.0,81.25,7.838377e-10,2.4567035e-09,4.5530517e-09,5.718592e-09,1.7835676e-08,7.2436963e-09,2.272143e-09,1.9353217e-09,2.734572e-09,1.876659e-09,1.1451391e-09
30.5,72.5,4.4691615e-09,1.9313509e-08,2.3132264e-08,2.1523586e-08,1.05622654e-07,7.840185e-08,7.109385e-08,3.6133013e-08,3.3546858e-08,2.7545685e-08,2.498869e-08
