lat,lon,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12
29.0,72.5,1.6660726e-08,8.81786e-09,4.1321155e-09,3.1171243e-09,3.6869927e-09,2.1656097e-09,2.027869e-09,2.0628859e-09,2.62742e-09,1.04152225e-08,1.2780987e-08,2.2583142e-08
29.0,73.125,1.7214873e-08,9.566602e-09,4.0975547e-09,2.9142766e-09,3.5606023e-09,2.2674504e-09,2.1455167e-09,2.0854691e-09,2.534212e-09,1.1546282e-08,1.2512201e-08,2.1038996e-08
29.0,73.75,1.8042865e-08,1.0444102e-08,4.182336e-09,2.827238e-09,3.5908942e-09,2.3062177e-09,2.5130404e-09,2.1213282e-09,2.7134508e-09,1.32387195e-08,1.3084698e-08,2.2200744e-08
29.0,74.375,1.9202734e-08,1.1620208e-08,4.3984874e-09,2.85785e-09,3.6505394e-09,2.2972289e-09,2.827843e-09,2.3333138e-09,2.8771825e-09,1.47500945e-08,1.4503752e-08,2.415909e-08
29.0,75.0,2.0277112e-08,1.24876225e-08,4.5475934e-09,2.9591147e-09,3.6649592e-09,2.2836546e-09,3.0701939e-09,2.668382e-09,3.0143343e-09,1.5896703e-08,1.6669562e-08,2.5601784e-08
29.0,75.625,2.1338344e-08,1.28633575e-08,4.6874646e-09,3.0613874e-09,3.955132e-09,2.2689814e-09,3.4117018e-09,2.9739575e-09,3.298506e-09,1.675597e-08,1.8992957e-08,2.7407923e-08
29.0,76.25,2.3038924e-08,1.329985e-08,4.800389e-09,3.0895968e-09,4.5783852e-09,2.2721116e-09,4.114954e-09,3.1675698e-09,3.524015e-09,1.7199099e-08,2.1049143e-08,3.054844e-08
29.0,76.875,2.4353115e-08,1.42417615e-08,5.9598917e-09,3.812418e-09,5.467666e-09,2.7326799e-09,5.208093e-09,3.8612282e-09,4.586775e-09,1.8178742e-08,2.4146518e-08,3.286178e-08
29.0,77.5,2.3588788e-08,1.391665e-08,5.9670358e-09,3.6900605e-09,5.5699694e-09,3.106194e-09,5.8348086e-09,4.103315e-09,5.3390634e-09,1.7806876e-08,2.3298082e-08,3.2522276e-08
29.0,78.125,2.1207612e-08,1.30372335e-08,4.9393947e-09,3.2956278e-09,5.193556e-09,3.1135154e-09,6.0581775e-09,3.953747e-09,5.1721405e-09,1.5280154e-08,1.9355907e-08,2.8514926e-08
29.0,78.75,1.7535426e-08,1.18054855e-08,3.9763424e-09,3.0134115e-09,5.2104547e-09,3.2088305e-09,6.1844654e-09,4.073845e-09,4.8714996e-09,1.2253003e-08,1.353417e-08,1.8140906e-08
29.0,79.375,1.2482096e-08,9.607886e-09,3.4300882e-09,2.7733504e-09,5.186397e-09,3.2923524e-09,5.249754e-09,4.245079e-09,4.858047e-09,9.535052e-09,8.2929645e-09,8.933739e-09
29.0,80.0,9.412625e-09,7.608103e-09,3.5794656e-09,2.8310199e-09,5.287175e-09,3.5118741e-09,4.9149205e-09,4.565148e-09,4.6755795e-09,8.389821e-09,4.7141784e-09,4.315824e-09
29.0,80.625,6.846917e-09,5.9060237e-09,3.478398e-09,2.9778275e-09,5.2479057e-09,4.263693e-09,4.3658424e-09,4.5216533e-09,4.418939e-09,7.227062e-09,3.1264167e-09,2.4948323e-09
29.0,81.25,3.348177e-09,4.8288085e-09,2.9892613e-09,3.1702236e-09,5.2615627e-09,5.705181e-09,3.958961e-09,4.314421e-09,3.933742e-09,6.087348e-09,2.207592e-09,1.3339255e-09
29.5,72.5,1.7393369e-08,9.347868e-09,4.261132e-09,3.1284324e-09,3.8354164e-09,2.2907258e-09,2.3356743e-09,1.9131896e-09,2.7240994e-09,1.1630469e-08,1.5063698e-08,2.8109994e-08
