lat,lon,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
29.0,72.5,-264.38273,-262.08052,-256.07376999999997,-250.32633999999996,-244.18269999999995,-240.79614999999995,-240.33847999999995,-243.73352999999997,-244.91684999999995,-248.38806999999997,-254.42981999999995
29.0,73.125,-264.71565,-262.32863,-256.34999999999997,-250.56955999999997,-244.17761999999993,-241.07373999999993,-241.42667999999998,-244.59491999999995,-245.76319999999993,-248.63959999999997,-254.39259999999996
29.0,73.75,-265.12706,-262.54535999999996,-256.68213999999995,-250.67475999999994,-244.41099999999994,-241.27999999999997,-241.17566999999997,-244.71689999999995,-245.85329999999993,-249.00577999999996,-254.59467999999998
29.0,74.375,-265.54035999999996,-262.82553999999993,-257.09999999999997,-250.92059999999998,-244.70133999999996,-241.50656999999995,-241.73917999999998,-245.28241999999995,-246.50693999999993,-249.68344999999994,-255.06549999999993
29.0,75.0,-265.91651999999993,-263.0866,-257.64874999999995,-251.08985999999993,-244.99466999999993,-241.68884999999995,-242.77999999999997,-245.81317999999993,-247.03351999999995,-250.39411999999993,-255.55429999999996
29.0,75.625,-266.25836999999996,-263.46762999999993,-258.18692999999996,-251.08933999999994,-245.23963999999995,-241.75656999999995,-243.79409999999996,-246.40946999999994,-247.54079999999993,-251.04685999999998,-255.93946999999997
29.0,76.25,-266.63929999999993,-263.86231999999995,-258.55134,-251.01694999999995,-245.39133999999996,-241.88469999999995,-244.49271999999996,-246.93616999999995,-248.10901999999993,-251.85657999999995,-256.67407999999995
29.0,76.875,-266.58649999999994,-263.70053999999993,-258.32339999999994,-250.87161999999995,-245.41855999999996,-241.98519999999996,-244.92819999999995,-247.26883999999995,-248.41266999999993,-252.72429999999997,-257.43399999999997
29.0,77.5,-266.42569999999995,-263.24607999999995,-258.20053999999993,-250.76172999999994,-245.56319999999994,-242.05081999999993,-245.62073999999996,-247.42102999999997,-248.47049999999996,-253.55591999999996,-258.16757999999993
29.0,78.125,-265.59403999999995,-262.62899999999996,-257.7313,-250.34299999999996,-245.66956999999996,-242.14719999999994,-245.71952999999996,-247.35071999999997,-248.33769999999993,-253.55489999999998,-258.00325
29.0,78.75,-264.46137999999996,-261.92142999999993,-257.19876999999997,-249.90859999999998,-245.60456999999997,-242.39405999999997,-246.12927999999994,-247.30915999999996,-248.15225999999996,-252.92813999999993,-257.12278
29.0,79.375,-263.51429999999993,-261.70349999999996,-256.79276999999996,-250.29401999999993,-246.49769999999995,-243.30029999999994,-246.77545999999995,-247.71817999999996,-248.46994999999993,-252.40973999999994,-256.18242
29.0,80.0,-264.24576999999994,-262.04776999999996,-257.08536999999995,-250.80549999999994,-247.70032999999995,-244.73676999999998,-247.52042999999998,-248.25293999999997,-249.09339999999997,-252.38101999999998,-256.94882999999993
29.0,80.625,-265.24739999999997,-263.83521999999994,-259.448,-253.57501999999994,-251.22956999999997,-248.32009999999997,-249.93396999999993,-250.25217999999995,-251.06085999999993,-253.77542999999997,-258.50663
29.0,81.25,-267.06897999999995,-266.26505999999995,-261.883,-256.27579999999995,-253.42056999999994,-250.38571999999994,-251.54813999999993,-252.03821999999997,-252.65719999999993,-255.68369999999993,-260.53229999999996
29.5,72.5,-264.54022999999995,-262.58912,-256.68064999999996,-251.28256999999996,-244.71543999999994,-240.93989999999997,-240.99924999999996,-244.04502999999994,-245.78819999999996,-249.04004999999995,-255.08606999999995
29.5,73.125,-264.80762999999996,-262.75507999999996,-256.94901999999996,-251.22684999999996,-244.58789999999993,-241.19977999999998,-241.45844999999997,-244.47144999999995,-246.06787999999995,-249.17009999999993,-254.86419999999998
29.5,73.75,-265.11774999999994,-262.86377999999996,-257.18137999999993,-251.18674999999996,-244.71239999999995,-241.44039999999995,-241.24875999999995,-244.58585999999997,-246.10797999999994,-249.47679999999997,-254.99127999999996
29.5,74.375,-265.64723,-263.19825,-257.69989999999996,-251.38101999999998,-245.02893999999998,-241.70862999999997,-242.14189999999996,-245.33234999999996,-246.91632999999996,-250.17612999999994,-255.37409999999994
29.5,75.0,-266.27613999999994,-263.62253999999996,-258.34849999999994,-251.53049999999996,-245.23459999999994,-241.85549999999995,-243.32434999999998,-245.96539999999993,-247.52829999999994,-250.95839999999993,-255.81107999999995
29.5,75.625,-266.82839999999993,-264.04738,-258.77399999999994,-251.54923999999994,-245.40999999999997,-241.84354999999994,-243.91205999999994,-246.45835999999997,-247.89859999999993,-251.52519999999993,-256.28059999999994
