lat,lon,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
29.0,72.5,4.3410635,4.402496,5.347637,5.919023,5.032985,6.828039,6.144955,6.335633,5.5515323,4.721616,3.9842181,4.060273
29.0,73.125,4.122298,4.508867,4.908121,5.7172976,5.1063533,6.339001,5.747573,6.299642,5.1461287,4.7574887,3.9512146,4.1238604
29.0,73.75,3.7500935,4.3191566,4.212588,5.3671675,5.087263,5.6829057,5.182789,5.7638793,4.8517847,4.50526,3.8341408,3.970855
29.0,74.375,3.469442,4.0079207,3.8604977,5.1312623,5.000191,5.219673,4.752818,5.346186,4.873472,4.2339096,3.8044126,3.6596308
29.0,75.0,3.4258432,3.945848,3.6291232,4.869283,4.885926,5.013643,4.4289694,5.0699134,4.9415064,3.982941,3.8481464,3.4054253
29.0,75.625,3.534651,3.92398,3.5292854,4.739238,4.976691,5.261454,4.085432,4.9724307,4.785761,3.5863147,3.869354,3.302823
29.0,76.25,3.90769,4.2476406,3.827649,4.700387,5.034371,5.533874,3.7666316,4.810699,4.5991726,3.1027193,3.6933124,3.4019442
29.0,76.875,4.64038,4.7456527,4.704106,4.8182254,4.837342,5.473978,3.7283409,4.3699546,4.6510606,2.9535496,3.7541604,3.8844764
29.0,77.5,5.336291,5.1957088,5.4652815,5.043144,4.7838984,5.2271276,3.7698133,3.9181998,4.7169538,3.2091017,3.9971087,4.3689103
29.0,78.125,4.9878626,4.8981013,5.2224636,5.3581667,4.8614016,5.1896763,3.732255,3.614166,4.364472,3.2602296,4.0080423,3.9607742
29.0,78.75,4.4595265,4.6242275,4.4236355,5.59124,4.710483,4.9276485,3.6518264,3.2229817,3.8997908,3.587047,3.732505,3.292648
29.0,79.375,4.221135,4.781053,4.464226,5.670683,4.978975,4.8173456,3.980987,3.115552,3.618671,4.440657,3.5805032,3.202379
29.0,80.0,4.248227,4.6590877,4.702712,5.0699997,4.692338,4.155562,3.4865,2.9514344,2.9624047,4.7323976,4.2256203,4.016202
29.0,80.625,2.6787493,3.4054601,3.9867027,3.9846315,3.7961843,2.8647091,2.5828645,2.4837396,1.9230127,3.48109,3.1433613,2.9353049
29.0,81.25,2.843489,3.6210363,4.2122254,3.6856081,3.5855303,2.1796098,1.9627239,2.0437746,1.5706486,3.231846,3.0739927,2.7346134
29.5,72.5,4.293401,4.2720637,4.9904985,5.9995894,5.0607853,6.320617,5.907225,6.3351917,5.3309917,4.41429,4.0040016,3.868245
29.5,73.125,4.030698,4.289232,4.7499337,5.8478966,5.34024,5.726086,5.4647007,6.1135283,4.812421,4.385875,3.9516132,3.9615617
29.5,73.75,3.784974,4.1919765,4.09099,5.3385215,5.392376,5.1381464,4.927355,5.5682044,4.47143,4.2011395,3.9470558,3.852746
29.5,74.375,3.6621478,4.04183,3.6912925,5.1296186,5.211491,4.882572,4.607066,5.1567645,4.4207788,3.984587,3.9434264,3.5777175
29.5,75.0,3.723687,4.180868,3.5420754,4.9919395,5.0287952,5.043705,4.354207,5.021259,4.461542,3.7666245,4.004673,3.3227797
29.5,75.625,3.8719747,4.307307,3.6603417,4.86012,5.071717,5.5107703,3.9868228,4.91579,4.3896184,3.3891752,4.0323424,3.3345377
29.5,76.25,4.347911,4.6905117,4.23019,4.7170944,5.1151896,5.675679,3.733649,4.6205688,4.387877,3.0284534,3.9867532,3.8139906
29.5,76.875,5.24147,5.318023,5.0908484,4.9455853,5.1336102,5.4924436,3.6031165,3.9784474,4.351809,3.2139924,4.2235694,4.499435
29.5,77.5,5.310412,5.2839565,5.185244,5.0504847,4.8847837,5.2345495,3.8116953,3.6753192,4.4641056,3.2667503,4.2877784,4.24278
