lat,lon,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12
29.0,72.5,3.4654214e-08,2.350927e-08,2.6711684e-08,5.1841926e-08,1.3924775e-07,1.7339771e-07,1.11642294e-07,8.475141e-08,6.40436e-08,2.365361e-08,1.9203314e-08,2.7646175e-08
29.0,73.125,3.1724465e-08,1.9990434e-08,2.4485534e-08,5.6206286e-08,1.15177706e-07,1.428929e-07,8.276942e-08,5.9639056e-08,4.5789694e-08,2.1908994e-08,1.7360799e-08,2.5146061e-08
29.0,73.75,3.0015322e-08,1.8840833e-08,2.49776e-08,5.1064003e-08,9.52904e-08,1.1627162e-07,6.017158e-08,4.5753186e-08,3.363096e-08,2.074044e-08,1.6737976e-08,2.3673737e-08
29.0,74.375,3.072754e-08,1.8527382e-08,2.416234e-08,4.321749e-08,8.544016e-08,8.979344e-08,4.5981558e-08,3.722861e-08,2.7630024e-08,1.9946672e-08,1.6338648e-08,2.2708322e-08
29.0,75.0,3.220562e-08,1.8629569e-08,2.3307415e-08,3.8644917e-08,7.999751e-08,7.153582e-08,3.8461007e-08,3.1642024e-08,2.536902e-08,2.0134229e-08,1.6806068e-08,2.1980023e-08
29.0,75.625,3.303144e-08,1.8474566e-08,2.2920558e-08,3.6217536e-08,7.472925e-08,5.8984156e-08,3.271082e-08,2.7474309e-08,2.4153657e-08,1.9784844e-08,1.753815e-08,2.0978522e-08
29.0,76.25,3.1929133e-08,1.8224714e-08,2.2275227e-08,3.3185096e-08,6.560684e-08,4.952053e-08,2.7462166e-08,2.437126e-08,2.2716304e-08,1.983191e-08,1.827866e-08,1.9747066e-08
29.0,76.875,3.0635185e-08,1.8641783e-08,2.0258026e-08,3.202064e-08,5.6535363e-08,4.269132e-08,2.5354359e-08,2.184269e-08,2.2113705e-08,2.167146e-08,1.8205295e-08,2.0086455e-08
29.0,77.5,2.8877924e-08,1.8821734e-08,1.8679378e-08,3.1627255e-08,4.727577e-08,3.554566e-08,2.3136922e-08,1.9994522e-08,2.1616916e-08,2.263518e-08,1.7144703e-08,1.942135e-08
29.0,78.125,2.6581302e-08,1.7305865e-08,1.7402565e-08,3.029636e-08,3.812989e-08,2.8362289e-08,2.0227368e-08,1.78601e-08,2.0279595e-08,2.2171957e-08,1.5300369e-08,1.7506247e-08
29.0,78.75,2.241089e-08,1.4675281e-08,1.5806666e-08,2.7056377e-08,3.341155e-08,2.584699e-08,1.6564217e-08,1.5543778e-08,1.8878612e-08,1.7875456e-08,1.1701437e-08,1.3866919e-08
29.0,79.375,1.6756296e-08,1.2013451e-08,1.355505e-08,2.4236396e-08,3.4092555e-08,2.4186011e-08,1.4222106e-08,1.3468766e-08,1.9038522e-08,1.2599391e-08,7.689263e-09,9.510967e-09
29.0,80.0,1.3124508e-08,9.834935e-09,1.1198462e-08,2.1181904e-08,3.4124124e-08,2.2096659e-08,1.099505e-08,1.01721005e-08,1.7960508e-08,1.0067341e-08,5.6758003e-09,6.6352186e-09
29.0,80.625,9.21657e-09,8.514454e-09,9.304365e-09,1.8957264e-08,3.038475e-08,2.370504e-08,7.598139e-09,6.3901795e-09,1.47037085e-08,7.1978494e-09,4.0564148e-09,4.1001122e-09
29.0,81.25,6.830122e-09,6.307442e-09,7.9753e-09,1.8487754e-08,2.7820093e-08,1.9096857e-08,5.463085e-09,3.7570502e-09,1.03734985e-08,4.628586e-09,2.7502514e-09,2.7776226e-09
29.5,72.5,3.4106872e-08,2.0713353e-08,2.4167035e-08,4.5350923e-08,1.09293566e-07,1.5040301e-07,1.0163128e-07,6.978568e-08,5.595533e-08,2.463252e-08,1.8323286e-08,2.8531025e-08
29.5,73.125,3.4053947e-08,1.9774884e-08,2.2858242e-08,4.9774705e-08,9.625458e-08,1.311951e-07,7.8850725e-08,5.556373e-08,4.532943e-08,2.3978476e-08,1.7519051e-08,2.6342018e-08
29.5,73.75,3.162577e-08,1.8761186e-08,2.3098467e-08,4.6929564e-08,8.326489e-08,1.1000326e-07,6.228619e-08,4.5554874e-08,3.6765453e-08,2.4093996e-08,1.7569498e-08,2.3348138e-08
29.5,74.375,3.0593522e-08,1.8495355e-08,2.2625764e-08,4.002832e-08,7.5123324e-08,8.699244e-08,4.9437844e-08,3.750319e-08,3.1877274e-08,2.294174e-08,1.7427617e-08,2.1184595e-08
29.5,75.0,3.0547405e-08,1.8812509e-08,2.2145668e-08,3.532708e-08,6.8176426e-08,7.125661e-08,4.0928597e-08,3.138584e-08,2.8799949e-08,2.1701295e-08,1.7737571e-08,2.0018918e-08
