lat,lon,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
29.0,72.5,1.7157605e-08,7.868222e-09,4.3324935e-09,3.4330687e-09,4.276666e-09,2.4729712e-09,4.2382293e-09,2.8872116e-09,5.004508e-09,6.1390804e-09,1.6745542e-08,2.0904412e-08
29.0,73.125,1.8309876e-08,8.448121e-09,4.4460924e-09,3.2526553e-09,4.3813313e-09,2.8624167e-09,4.555995e-09,2.9796279e-09,5.126774e-09,5.811031e-09,1.7550384e-08,2.1128171e-08
29.0,73.75,1.9426148e-08,9.1708126e-09,4.506794e-09,3.145426e-09,4.406606e-09,3.6530103e-09,4.7455955e-09,3.498348e-09,5.1625175e-09,5.452793e-09,1.8913596e-08,2.2002627e-08
29.0,74.375,2.0750665e-08,1.0129128e-08,4.6998707e-09,3.188316e-09,4.386348e-09,4.331372e-09,4.7897206e-09,4.199495e-09,5.131049e-09,5.595848e-09,2.0104853e-08,2.327821e-08
29.0,75.0,2.2095486e-08,1.1355159e-08,4.8633453e-09,3.2701555e-09,4.6687463e-09,4.671887e-09,4.6973923e-09,4.860947e-09,5.119953e-09,6.1025243e-09,2.0662949e-08,2.4640105e-08
29.0,75.625,2.3807507e-08,1.2560077e-08,5.18271e-09,3.381311e-09,5.2907234e-09,5.282173e-09,4.674655e-09,5.283965e-09,5.029989e-09,6.6122814e-09,2.1735213e-08,2.6083443e-08
29.0,76.25,2.6000974e-08,1.3525213e-08,5.3780167e-09,3.559875e-09,6.010779e-09,6.586085e-09,4.9781765e-09,5.7738303e-09,5.1126925e-09,7.0526527e-09,2.2221064e-08,2.6941068e-08
29.0,76.875,2.8277292e-08,1.4600821e-08,5.892952e-09,4.3537125e-09,7.0742425e-09,8.152599e-09,6.0735896e-09,6.3147008e-09,4.9944124e-09,7.955708e-09,2.3153842e-08,2.7101725e-08
29.0,77.5,2.825523e-08,1.36992515e-08,5.314249e-09,4.0087715e-09,7.177279e-09,8.095058e-09,6.1884795e-09,5.5343543e-09,4.2182347e-09,7.936857e-09,2.2384652e-08,2.5340062e-08
29.0,78.125,2.6984576e-08,1.2401663e-08,4.8303392e-09,3.6025607e-09,6.9761636e-09,7.340693e-09,4.8981708e-09,5.1065694e-09,3.9373824e-09,7.202558e-09,1.846376e-08,2.0754918e-08
29.0,78.75,2.4122633e-08,1.1165399e-08,4.6655595e-09,3.5879937e-09,6.74213e-09,6.658663e-09,4.448983e-09,4.5836392e-09,3.5430636e-09,6.4618626e-09,1.1675716e-08,1.430512e-08
