lat,lon,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
29.0,72.5,2.099884e-08,7.1138127e-09,4.2911426e-09,4.0222603e-09,4.5196495e-09,3.703201e-09,2.8178146e-09,2.255843e-09,6.1506302e-09,9.906028e-09,2.7036034e-08
29.0,73.125,2.195868e-08,7.2177304e-09,4.2794e-09,4.253701e-09,4.75672e-09,3.5477836e-09,2.7250167e-09,2.3886457e-09,6.5414856e-09,9.620741e-09,2.6483244e-08
29.0,73.75,2.25796e-08,8.010653e-09,4.394968e-09,4.2683967e-09,5.0077698e-09,3.4303982e-09,2.7577145e-09,2.5401223e-09,6.877559e-09,9.721225e-09,2.7505818e-08
29.0,74.375,2.3375614e-08,8.932755e-09,4.5411914e-09,3.9868326e-09,5.2513967e-09,3.3575325e-09,3.098599e-09,2.9526441e-09,7.3728246e-09,1.0174373e-08,2.9984857e-08
29.0,75.0,2.3990196e-08,9.6145625e-09,4.659704e-09,3.9018704e-09,5.3936446e-09,3.4178396e-09,3.9059955e-09,3.4372436e-09,7.810125e-09,1.1528714e-08,3.2560546e-08
29.0,75.625,2.413513e-08,9.987612e-09,4.7528395e-09,4.0023846e-09,5.6341327e-09,3.8990153e-09,4.7937356e-09,3.9133274e-09,7.9591755e-09,1.3433196e-08,3.448067e-08
29.0,76.25,2.4173856e-08,1.0979589e-08,4.8694604e-09,4.1976835e-09,6.013231e-09,4.570609e-09,5.438406e-09,4.4220796e-09,8.281304e-09,1.47806265e-08,3.6443605e-08
29.0,76.875,2.5447266e-08,1.27330315e-08,5.993962e-09,5.161248e-09,6.8450516e-09,5.3400946e-09,6.0901617e-09,5.093155e-09,9.491265e-09,1.6088215e-08,3.7926323e-08
29.0,77.5,2.445844e-08,1.2863372e-08,6.8415233e-09,4.881881e-09,7.1199096e-09,5.9102265e-09,6.6008283e-09,4.3253063e-09,9.372091e-09,1.6346572e-08,3.773921e-08
29.0,78.125,2.2447576e-08,1.3235292e-08,7.347701e-09,4.5990287e-09,7.623829e-09,6.080681e-09,6.744499e-09,3.736438e-09,8.096827e-09,1.6345574e-08,3.3056526e-08
29.0,78.75,2.0170907e-08,1.2933183e-08,7.905573e-09,4.6734554e-09,8.43941e-09,6.6660015e-09,7.617908e-09,3.591799e-09,7.778482e-09,1.7145268e-08,2.8153137e-08
29.0,79.375,1.6647466e-08,1.0867156e-08,8.101643e-09,4.8151394e-09,8.789067e-09,6.4813133e-09,4.1605146e-09,3.555962e-09,6.769943e-09,1.583614e-08,2.4307065e-08
29.0,80.0,1.4279082e-08,9.196117e-09,7.892063e-09,5.2043427e-09,9.357326e-09,5.867435e-09,3.985327e-09,3.4100174e-09,6.392927e-09,1.4605094e-08,2.1396803e-08
29.0,80.625,8.918403e-09,7.216476e-09,7.1090467e-09,5.9532206e-09,9.833167e-09,5.496149e-09,3.3919203e-09,2.3876316e-09,5.36084e-09,1.275596e-08,1.6426657e-08
29.0,81.25,4.36995e-09,5.461065e-09,5.901227e-09,7.11316e-09,1.0136117e-08,5.2926947e-09,2.1201974e-09,1.4523063e-09,3.801428e-09,1.1119984e-08,1.2479116e-08
29.5,72.5,2.2432555e-08,6.9292163e-09,4.5263864e-09,4.0140016e-09,4.1457593e-09,3.898303e-09,3.3227014e-09,2.6151008e-09,7.0505752e-09,1.1215965e-08,3.157975e-08
29.5,73.125,2.3759949e-08,7.065343e-09,4.539911e-09,3.9702264e-09,4.4515547e-09,3.740657e-09,3.2957541e-09,2.6291833e-09,7.443568e-09,1.1315745e-08,3.170659e-08
29.5,73.75,2.4532373e-08,7.836375e-09,4.694166e-09,4.010305e-09,4.7729145e-09,3.6296381e-09,3.377051e-09,2.7760336e-09,7.767015e-09,1.1964523e-08,3.395268e-08
29.5,74.375,2.540455e-08,8.861595e-09,4.8201345e-09,3.935916e-09,5.0985283e-09,3.5856564e-09,3.983039e-09,3.2793877e-09,8.3562455e-09,1.28458675e-08,3.654571e-08
29.5,75.0,2.5452312e-08,9.597063e-09,4.888193e-09,3.933324e-09,5.471348e-09,3.6781522e-09,4.916767e-09,3.81885e-09,8.592988e-09,1.4330339e-08,3.8032432e-08
29.5,75.625,2.472014e-08,1.0014269e-08,4.887107e-09,3.9180366e-09,5.702022e-09,4.121364e-09,5.8361196e-09,4.2376724e-09,8.384531e-09,1.5969308e-08,3.921623e-08
29.5,76.25,2.4206832e-08,1.1118208e-08,5.0854503e-09,4.0926977e-09,6.0781273e-09,4.761982e-09,6.2082495e-09,4.71966e-09,8.509981e-09,1.6668416e-08,3.9670006e-08
29.5,76.875,2.4190756e-08,1.2352863e-08,6.089577e-09,4.9436513e-09,6.483234e-09,6.012196e-09,6.9721957e-09,5.526749e-09,9.331194e-09,1.712416e-08,3.6839538e-08
29.5,77.5,2.18567e-08,1.22687815e-08,6.463555e-09,4.5860378e-09,6.1445204e-09,5.855217e-09,6.273733e-09,4.5358988e-09,8.205906e-09,1.5917584e-08,3.042275e-08
29.5,78.125,2.0090813e-08,1.2598082e-08,7.1881288e-09,4.616506e-09,6.7477357e-09,6.245239e-09,5.9698446e-09,4.4762825e-09,7.369414e-09,1.518189e-08,2.5195096e-08
29.5,78.75,1.7261813e-08,1.1474683e-08,7.113521e-09,4.569743e-09,6.920437e-09,6.7119914e-09,6.3428915e-09,4.079831e-09,7.067492e-09,1.4734125e-08,2.3220885e-08
29.5,79.375,1.30692195e-08,8.698576e-09,6.0993024e-09,4.2325023e-09,7.1231807e-09,5.628268e-09,4.5966835e-09,2.9567957e-09,6.282628e-09,1.3238094e-08,1.9539858e-08
29.5,80.0,9.336961e-09,6.4118866e-09,5.0184155e-09,4.382372e-09,8.384723e-09,5.076872e-09,2.7262232e-09,1.8115255e-09,4.767812e-09,1.1272471e-08,1.5598228e-08
29.5,80.625,5.4128293e-09,5.0769837e-09,4.8372812e-09,5.0509414e-09,8.654139e-09,4.6846824e-09,1.7334585e-09,9.370335e-10,2.790593e-09,8.595461e-09,1.1150269e-08
29.5,81.25,2.7305134e-09,4.7189603e-09,4.285339e-09,6.2381957e-09,7.559144e-09,3.713774e-09,8.2626506e-10,4.0553466e-10,1.6228473e-09,5.888783e-09,7.639453e-09
30.0,72.5,2.3787175e-08,6.691164e-09,4.8841806e-09,4.1078634e-09,3.9734687e-09,4.0811114e-09,3.920797e-09,3.1150258e-09,7.887492e-09,1.2507653e-08,3.7238383e-08
30.0,73.125,2.5077952e-08,7.1276274e-09,4.8753717e-09,3.962829e-09,4.1328945e-09,3.9246633e-09,4.040821e-09,3.1246268e-09,7.81061e-09,1.3328281e-08,3.9310212e-08
30.0,73.75,2.5509816e-08,7.708356e-09,4.9239346e-09,3.9219477e-09,4.478869e-09,3.9086103e-09,4.287221e-09,3.3228087e-09,7.810822e-09,1.4281637e-08,4.1124107e-08
