lat,lon,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
29.0,72.5,-264.27811999999994,-261.93834,-253.15857999999997,-247.64963999999998,-244.09949999999998,-242.94461999999993,-243.87161999999995,-245.87564999999995,-246.95432999999997,-251.62442999999996,-256.14261999999997,-261.56809999999996
29.0,73.125,-264.68915999999996,-262.17619999999994,-253.53607999999997,-247.76892999999995,-244.17661999999996,-243.35294999999996,-244.38623999999993,-246.60599999999994,-247.54233999999997,-251.50369999999998,-256.05564999999996,-261.79542
29.0,73.75,-264.52876,-262.22029999999995,-253.85187999999994,-247.87256999999994,-244.29251999999997,-243.12793999999997,-244.43662999999998,-246.37061999999997,-247.17829999999998,-251.78116999999997,-256.30799999999994,-261.95697999999993
29.0,74.375,-264.50909999999993,-262.57645999999994,-254.03229999999996,-248.07984999999996,-244.45532999999995,-243.13315999999998,-244.83835999999997,-246.61002999999994,-247.30744999999996,-252.35449999999997,-256.76682999999997,-262.09442999999993
29.0,75.0,-264.65122999999994,-263.14914999999996,-254.42191999999994,-248.46787999999998,-244.99919999999997,-243.28681999999998,-245.17606999999998,-246.82069999999993,-247.47931999999997,-252.90639999999996,-257.40955999999994,-262.31647999999996
29.0,75.625,-265.03266999999994,-263.91516999999993,-255.16663999999997,-248.71372999999994,-245.36713999999995,-243.57221999999996,-245.52786999999995,-247.18057999999996,-247.84027999999995,-253.56821999999994,-258.3102999999999,-262.87999999999994
29.0,76.25,-265.70453999999995,-264.54212999999993,-256.21299999999997,-248.94913999999994,-245.66199999999998,-243.90659999999997,-245.81769999999995,-247.58985999999993,-248.16422999999998,-254.27259999999995,-259.37229999999994,-264.0438
29.0,76.875,-265.98975999999993,-264.5485699999999,-256.69055999999995,-249.53089999999997,-245.97449999999998,-244.30399999999997,-245.59842999999995,-247.45829999999995,-248.00952999999993,-254.44144999999997,-259.85069999999996,-264.60123999999996
29.0,77.5,-266.09439999999995,-264.53083,-256.65049999999997,-249.72309999999993,-246.18112999999994,-244.47169999999994,-245.39127999999994,-246.90186999999997,-248.02463999999998,-254.36634999999995,-260.1347999999999,-264.74793999999997
29.0,78.125,-265.70579999999995,-264.28752,-256.41437999999994,-249.72934999999995,-246.52339999999998,-244.63993999999997,-245.39026999999993,-247.15839999999997,-248.07569999999993,-254.24589999999995,-259.97061999999994,-264.69386
29.0,78.75,-264.69205999999997,-263.57949999999994,-255.72385999999995,-249.36267999999995,-246.65241999999995,-244.56859999999995,-245.14682999999997,-246.66039999999998,-247.95799999999997,-253.78772999999995,-258.83088,-263.381
29.0,79.375,-264.15299999999996,-263.15317999999996,-255.31659999999994,-249.99859999999995,-247.25421999999998,-244.84564999999998,-245.91749999999996,-247.11002999999994,-248.60069999999996,-253.63071999999994,-257.98767999999995,-261.72914
29.0,80.0,-264.41522999999995,-263.48145999999997,-255.84305999999998,-251.19649999999996,-248.64839999999998,-245.79825999999997,-247.14429999999993,-248.02686999999997,-249.48142999999993,-254.15012999999993,-258.34027999999995,-261.54276999999996
29.0,80.625,-265.19861999999995,-265.17942999999997,-258.06759999999997,-254.58322999999996,-252.37671999999998,-249.16389999999996,-250.03239999999994,-250.59943999999996,-251.82776999999993,-255.71262999999993,-259.16657999999995,-261.85224999999997
29.0,81.25,-267.00684999999993,-267.87793999999997,-260.38739999999996,-257.2408,-254.29782999999998,-251.54409999999996,-251.83079999999995,-252.42629999999997,-253.58191999999997,-257.59442999999993,-261.22061999999994,-264.08322999999996
29.5,72.5,-264.45252999999997,-262.89525,-253.59027999999995,-248.05536999999998,-244.48255999999998,-243.14149999999995,-244.28995999999995,-246.41849999999994,-247.59964999999994,-251.89533999999998,-256.52019999999993,-261.44687999999996
29.5,73.125,-264.73831999999993,-262.91056999999995,-253.94712999999996,-247.98505999999998,-244.47046999999998,-243.28469999999993,-244.54953999999998,-246.81717999999995,-247.83557999999994,-251.66249999999997,-256.45145999999994,-261.63579999999996
29.5,73.75,-264.54419999999993,-262.8410999999999,-254.22132999999997,-248.02933999999993,-244.47799999999995,-243.05973999999998,-244.66899999999998,-246.69922999999994,-247.64337999999998,-252.10579999999993,-256.79572999999993,-261.72562999999997
29.5,74.375,-264.64334999999994,-263.29004999999995,-254.59833999999995,-248.23089999999996,-244.76179999999994,-243.16181999999998,-245.15235999999993,-247.10144999999994,-248.09235999999993,-252.94373999999993,-257.4822,-261.97209999999995
29.5,75.0,-264.91812999999996,-263.84473999999994,-255.11722999999995,-248.65744999999993,-245.42661999999996,-243.31179999999995,-245.54549999999995,-247.43762999999996,-248.27722999999997,-253.67456999999996,-258.21293,-262.43933999999996
29.5,75.625,-265.40079999999995,-264.39035999999993,-255.79465999999996,-248.93349999999998,-245.82227999999998,-243.63785999999993,-245.73299999999995,-247.67151999999993,-248.31735999999995,-254.19499999999994,-259.0533,-263.26493999999997
29.5,76.25,-265.78083,-264.56055999999995,-256.52374999999995,-249.30902999999995,-246.00473999999997,-244.17014999999998,-245.87009999999998,-247.83734999999996,-248.61579999999998,-254.59317999999996,-259.94535999999994,-264.32489999999996
29.5,76.875,-265.78329999999994,-264.46289999999993,-256.70469999999995,-249.86839999999995,-246.27339999999998,-244.66909999999996,-246.02283999999997,-247.86304999999993,-248.81943999999993,-254.61786999999998,-260.19755,-264.51847999999995
