lat,lon,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
29.0,72.5,4.2764645,4.957749,5.2903247,4.7345243,5.865147,5.9026093,6.7310114,4.7553754,4.256396,4.022701,4.6526666,3.4699655
29.0,73.125,4.062873,4.5047636,5.2051115,5.007848,5.847506,5.9083548,6.31068,4.6740847,4.074926,4.092895,4.7094374,3.4642477
29.0,73.75,3.8548024,4.3030596,4.9821386,5.0475287,5.4160385,5.7944713,5.933585,4.275159,3.9102125,4.032805,4.5733857,3.372636
29.0,74.375,3.7939403,4.3190074,4.7378893,4.8355823,4.86206,5.411919,5.708015,3.892425,3.787605,3.9022133,4.340541,3.18614
29.0,75.0,3.853936,4.4082756,4.6256323,4.5828395,4.3770237,4.96008,5.6600056,3.7537532,3.7459545,3.7108386,4.1071424,3.0662906
29.0,75.625,4.132855,4.4451933,4.6712627,4.4748726,4.2501335,4.6085663,5.322367,3.6027246,3.6983798,3.483331,3.8118298,3.1665418
29.0,76.25,4.581743,4.588643,4.954978,4.5933785,4.6332765,4.6178927,4.7026596,3.4755824,3.4447665,3.3038483,3.785365,3.6164262
29.0,76.875,5.1702003,4.93405,5.297885,4.8971705,5.0673113,4.7576876,4.155871,3.7591243,3.2901278,3.3498807,4.154872,4.072536
29.0,77.5,5.4602237,5.232128,5.431391,4.9838734,5.431128,4.6320205,3.973372,3.8836753,3.1819654,3.506477,4.4106255,4.103148
29.0,78.125,5.021243,5.106884,4.999829,4.738951,5.4081316,4.888368,3.9775302,3.9483569,3.366446,3.417098,4.3816786,3.8382869
29.0,78.75,4.518833,4.941304,4.603313,4.7549996,4.9591966,5.35239,3.7573469,3.938607,3.6519117,3.536727,4.2851534,3.8398306
29.0,79.375,4.597289,5.154666,5.166317,5.3376656,5.081487,5.1543837,3.5382032,3.9312038,3.618513,3.9097738,4.273337,3.7150354
29.0,80.0,4.791074,4.8612437,5.192432,5.3633327,5.193477,4.4464,3.048843,3.28457,3.0555413,3.6819355,4.0604954,4.136989
29.0,80.625,3.6311538,3.9018757,4.2213826,4.333727,4.3590517,3.171864,2.229003,2.2996674,2.4452221,2.2431202,2.7383597,3.1064165
29.0,81.25,3.3814373,4.1688786,4.5416007,3.9136746,4.295134,2.6550508,1.893664,1.8137172,2.1728995,1.7168713,2.778822,3.3983297
29.5,72.5,4.120002,4.844904,4.9326663,4.6116076,5.5391645,5.5206513,6.2164574,4.6739426,4.462361,4.0427437,4.279945,3.0773084
29.5,73.125,4.0530286,4.54489,4.7726283,4.837975,5.2777133,5.3158746,5.796189,4.587832,4.3384023,4.1382422,4.4149714,3.1134098
29.5,73.75,3.890108,4.4382615,4.7534986,4.8196154,4.766341,5.0951467,5.585535,4.187961,4.391137,4.213052,4.348532,3.0993521
29.5,74.375,3.9171133,4.42656,4.710207,4.7236114,4.309042,4.909901,5.472348,3.8872902,4.346052,4.1439676,4.1356745,3.040597
29.5,75.0,4.1280036,4.54414,4.7104826,4.617874,4.067784,4.636187,5.4028864,3.8779418,4.3346915,3.9807794,3.945912,3.0819275
29.5,75.625,4.5518947,4.7864146,4.8451223,4.6274767,4.260261,4.492909,5.103113,3.6743996,4.226765,3.6499531,3.8561008,3.4111905
29.5,76.25,4.963626,5.022028,5.1207337,4.807148,4.729594,4.652056,4.6008763,3.3647346,3.684716,3.4175549,4.141208,3.9738245
29.5,76.875,5.5162344,5.3959117,5.524952,5.1405625,5.117951,4.557655,3.981342,3.4930503,3.2143548,3.6337297,4.493511,4.4056854
29.5,77.5,5.2065225,5.239505,5.1701603,4.7654815,5.2845807,4.4424453,3.6373558,3.6122932,3.0458894,3.5931313,4.216802,4.0768833
29.5,78.125,4.2092156,4.7223277,4.3165975,4.6062202,4.7929916,4.6991262,3.6896963,3.5733883,3.0492992,3.411979,3.946563,3.377633
29.5,78.75,4.106976,4.8510423,4.6479826,4.540595,4.42193,4.321848,3.088953,3.291461,2.8899162,3.3222299,4.0112114,3.6614661
29.5,79.375,3.879421,4.2417192,4.1714044,4.0489936,4.1010814,3.3637178,2.6119337,2.919501,2.6057527,2.544311,3.2210584,3.2949088
29.5,80.0,2.9862602,3.3833907,3.1855884,3.0295763,3.38293,2.499875,2.3083408,2.5488482,2.2780998,1.5617632,2.2637587,2.756618
