lat,lon,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
29.0,72.5,4.335304,5.2314544,4.68753,5.2852864,5.2990265,6.5196714,5.616611,4.643526,4.4234414,3.6871285,3.1320546
29.0,73.125,4.168162,5.201324,4.794873,5.0772786,4.7224927,6.293711,5.5485826,4.7079477,4.730798,3.8301399,3.1074452
29.0,73.75,3.8803911,5.035536,4.578478,4.9665117,4.849729,6.2139425,5.1604934,4.553793,4.41654,3.9044373,3.0947661
29.0,74.375,3.5182755,4.6518307,4.352191,5.060742,5.0314956,6.241123,4.8310137,4.4995146,4.113252,3.8910964,3.0805001
29.0,75.0,3.2164705,4.3060603,4.271865,5.010221,5.1750507,6.1165466,4.449367,4.457696,3.7877152,3.7438953,3.0037017
29.0,75.625,3.2086108,4.2532415,4.391395,4.6697264,5.237944,5.9133563,4.448044,4.3640404,3.390759,3.4318364,2.9958892
29.0,76.25,3.641787,4.5934052,4.748754,4.4677896,5.1052103,5.741563,4.4620304,4.1062436,3.211348,3.4243546,3.076061
29.0,76.875,3.9349449,4.9322896,5.121549,4.560107,4.9041963,5.522064,4.224663,4.076049,3.333565,3.4637477,3.224478
29.0,77.5,3.8121262,4.8465495,5.4860272,4.9561687,4.8050985,5.2906513,4.1888137,4.2336535,3.6700232,3.3669422,3.36752
29.0,78.125,3.1959705,4.6071024,4.9428225,5.106299,4.9260664,4.893369,4.294314,4.7301254,3.8424108,3.232523,3.041218
29.0,78.75,2.7113514,4.425605,4.6072626,4.8217773,5.2969947,4.2642355,4.137434,4.539365,3.4289424,3.2955742,2.6440988
29.0,79.375,3.1226573,4.720931,4.907965,5.139014,5.445543,3.9602802,4.419235,4.1228766,3.6826942,3.4694023,2.653604
29.0,80.0,3.9249194,4.690321,4.64212,4.649658,4.7585154,3.6603372,3.9429877,3.1804152,3.34377,3.1508698,3.4497793
29.0,80.625,2.6078043,3.3829393,3.4885473,3.369173,3.708616,2.9514098,3.0325558,2.4224057,2.539652,2.0831246,2.5807688
29.0,81.25,2.3608284,3.333286,3.4657714,3.3379393,3.2152944,2.8759704,2.288179,2.0006802,2.0802853,1.682931,2.226944
29.5,72.5,3.9630682,4.832377,4.5263815,5.7302084,5.1112747,6.3807554,5.554174,4.453679,4.6073117,3.8245482,3.2292144
29.5,73.125,3.7659838,4.7560954,4.640198,5.250911,4.5124526,6.0244484,5.300016,4.3605595,4.601298,3.8698483,3.2114165
29.5,73.75,3.440174,4.5371013,4.4699926,5.0953937,4.5329604,5.8346453,4.9793096,4.241419,4.2679725,3.7866514,3.15703
29.5,74.375,3.2326467,4.321904,4.321886,5.2283525,4.9301853,5.7677426,4.768262,4.222549,4.026143,3.63782,3.0802398
29.5,75.0,3.3109765,4.291126,4.3345776,5.080973,5.0722437,5.7151794,4.658729,4.230645,3.690531,3.3994443,3.0336497
29.5,75.625,3.811575,4.550016,4.5177655,4.678792,5.0398283,5.611224,4.453856,4.1091576,3.1870072,3.1125002,3.0838408
29.5,76.25,4.42562,4.9992514,4.9566674,4.414762,4.955198,5.347162,4.251093,3.9094033,2.9664261,3.114107,3.197236
29.5,76.875,4.45902,5.274103,5.4477525,4.5764484,4.8651495,5.1406026,3.9948714,3.9281943,3.1659868,3.1685581,3.332966
29.5,77.5,3.6700048,4.713775,5.296842,4.766406,4.697858,4.7991476,3.958786,3.8489509,3.4617224,3.2325387,3.3025136
29.5,78.125,2.5797045,4.127821,4.335054,4.348307,4.98659,4.092735,3.9091072,4.1300435,3.0924678,3.1684952,2.8099926
29.5,78.75,3.1761005,3.9972308,4.184411,3.919987,4.469516,3.2091815,3.374455,3.3868399,2.9126666,3.4632437,3.2503815
29.5,79.375,2.681393,3.3876705,3.481995,3.3598387,3.574638,2.707855,3.1807177,2.6647112,2.865889,2.5379193,2.602009
29.5,80.0,1.8151033,2.5996351,2.7253795,2.6676188,2.563045,2.472886,2.7899115,2.4055207,2.487927,1.8563101,1.6727772
29.5,80.625,2.264826,3.0523393,3.0898263,2.953841,2.6693802,2.5219257,2.2939043,2.1543314,2.4264686,1.9077293,1.8201243
29.5,81.25,2.7343872,3.0637212,3.1488454,2.745768,2.3511705,2.364756,1.9992108,2.115773,2.6032264,1.8912774,1.9329987
30.0,72.5,3.556133,4.4377866,4.4391522,5.9839354,4.8979745,6.065033,5.4614162,4.2711253,4.583988,3.5265865,3.5955882
30.0,73.125,3.3613443,4.3352222,4.5464168,5.428353,4.5748267,5.672129,5.105538,4.073009,4.3155637,3.5564897,3.524283
30.0,73.75,2.904683,4.11739,4.4865785,5.0918374,4.523447,5.442328,4.8511434,4.05992,4.0954466,3.3995664,3.2736073
30.0,74.375,2.876532,4.143732,4.472245,5.0156493,4.7958293,5.3686543,4.65754,4.1243258,3.831213,3.3020086,3.1389964
30.0,75.0,3.345534,4.288844,4.472544,4.7322917,4.812588,5.3210144,4.5491652,4.1803207,3.450496,3.1488063,3.1000233
30.0,75.625,4.223306,4.6219444,4.5895667,4.449805,4.787497,5.1798763,4.200895,4.041932,2.962463,3.0662553,3.2337961
30.0,76.25,4.8775325,5.0222006,5.0273266,4.507031,4.9366746,4.7794533,4.101364,3.92087,2.8137243,3.1793947,3.484187
30.0,76.875,3.812847,4.9806795,5.2705536,4.8112793,5.073866,4.4316344,3.965433,3.7964842,3.1921425,3.6475778,3.513272
30.0,77.5,2.4608946,4.052937,4.174252,4.483675,4.8501387,3.9044697,3.566208,3.266077,3.0066931,3.5948591,3.462572
30.0,78.125,2.8126462,3.551834,3.644837,3.5866373,4.1607957,3.106317,3.1048923,2.8295612,2.4877398,3.5627902,3.3975494
30.0,78.75,2.01926,2.661327,2.6438208,2.5367024,2.8283079,2.2832212,2.334794,2.4531753,1.9877478,2.1640377,1.9778636
30.0,79.375,2.1296272,2.9037838,2.8667843,2.6053383,2.578497,2.3812194,2.6216357,2.3613942,2.6700394,1.9886817,1.9173248
30.0,80.0,3.1800542,3.846453,3.833715,3.0543945,3.022061,2.842572,2.2667968,2.117655,2.7116735,2.4433975,2.2703683
30.0,80.625,3.3139534,3.589095,3.4218733,2.62596,2.654779,2.375417,1.9581244,2.046248,2.3066607,2.0687125,2.2449777
30.0,81.25,3.2286143,3.6031878,3.1842222,2.223535,2.3289301,2.077602,1.9482406,1.9183104,2.3094356,1.8847643,2.2956614
30.5,72.5,3.301388,3.9742143,4.427087,5.7158527,4.873592,5.7204204,5.1896014,4.165688,4.4203978,3.2383704,3.966511
30.5,73.125,2.9966848,3.9460707,4.537013,5.284554,4.840074,5.3682065,4.868123,3.8238673,4.0933466,3.392128,3.8344471
30.5,73.75,2.6136715,3.840804,4.4614716,4.9049315,4.695763,5.1687436,4.6723537,3.9030714,3.9225948,3.1850731,3.311848
30.5,74.375,2.7063975,3.9877682,4.4706073,4.7352133,4.661615,4.997129,4.4227476,4.0500283,3.6597693,3.0844243,3.0493805
30.5,75.0,3.271079,4.1189137,4.489225,4.400195,4.52655,4.7814064,4.2560863,4.1920867,3.263993,2.961653,2.9758697
30.5,75.625,4.143866,4.2699866,4.3879223,4.291585,4.474619,4.561273,4.2090063,4.077624,2.8617225,3.0594351,3.2232127
30.5,76.25,4.4653125,4.4323316,4.607326,4.497705,4.9243417,4.029779,4.457888,3.9717143,2.822253,3.480688,3.4062815
30.5,76.875,3.3594737,4.827494,4.9929104,4.9138184,5.3690557,3.8248637,3.9009483,3.446229,3.1804237,4.047039,3.3465729
30.5,77.5,2.8001475,4.2086396,4.2016273,4.2615232,4.7126484,3.597357,2.6555398,2.438519,2.7450802,3.8163025,3.165274
30.5,78.125,2.2405457,3.3198836,3.1995323,3.0149496,3.4637508,2.7260842,2.0239005,2.0244958,2.0599484,2.5617821,2.187914
30.5,78.75,2.12528,2.994941,2.972072,2.9015787,2.6873362,2.4616473,1.8228626,1.917893,1.8888221,1.8197678,1.5358795
30.5,79.375,2.8942206,3.5874786,3.3621929,2.8637857,2.703922,2.2834573,1.9949187,1.9147664,2.12843,1.9256146,2.0974355
30.5,80.0,2.9298258,3.764489,3.4656298,2.3069499,2.5732203,2.120054,2.0028493,1.8325856,2.157458,1.9788058,2.1849353
30.5,80.625,2.7957215,4.38267,3.7277894,2.4387858,2.5267549,2.0512795,2.1167214,1.8288683,2.08787,1.9342698,2.2996163
30.5,81.25,2.5509274,4.556717,3.8398106,2.6975422,2.8166678,2.3670266,2.260654,2.2660847,2.4218543,2.0261612,2.3152497
31.0,72.5,2.9576735,3.6834848,4.3577824,5.1805987,4.9997735,5.388356,4.9124227,4.3065176,4.1513057,3.4922335,4.112979
31.0,73.125,2.7827349,3.7753448,4.403319,4.9790363,4.926799,5.0500913,4.731483,3.8958573,4.005627,3.703037,3.9635487
31.0,73.75,2.6098282,3.685577,4.3491354,4.5807776,4.801043,4.9351826,4.5589623,3.931691,3.8535357,3.2514243,3.2328033
31.0,74.375,2.7907758,3.8765075,4.40702,4.4402018,4.604313,4.7222433,4.2658677,4.033521,3.5863643,3.0680666,2.9708323
31.0,75.0,3.1775339,3.9084563,4.4083433,4.256425,4.3461223,4.406488,4.106877,4.1253967,3.1581092,2.9008067,2.8505766
31.0,75.625,3.6187038,3.6602156,3.980357,4.203467,4.259413,4.029128,4.191885,4.0435705,2.7839718,2.9786403,2.934142
31.0,76.25,3.4302588,3.78253,4.200824,4.5118327,4.970177,3.6420023,4.2673955,3.6584187,2.7093136,3.54978,3.161026
31.0,76.875,3.268811,4.4047604,4.4914927,4.3613443,4.716649,3.1515644,2.7171812,2.5031216,2.6456091,3.3482456,2.845222
31.0,77.5,2.013629,3.4015276,3.3417008,3.2634928,3.2006774,2.6890318,2.2208354,2.1440065,2.1349647,2.3749278,1.9731679
31.0,78.125,2.609474,4.0055146,3.4769075,3.302897,2.9608998,2.640407,1.8975854,1.847549,2.0636268,2.2858875,2.1068268
31.0,78.75,2.693458,3.9416173,3.6286054,2.9835286,2.5638957,2.1806417,2.011662,1.8594882,2.143371,1.915471,2.0670319
31.0,79.375,2.6093636,4.2899976,3.8630433,2.6980793,2.4454167,2.0032082,2.0747607,1.953695,2.283093,1.8707775,2.302839
31.0,80.0,2.4416153,4.2312183,3.8814564,2.9193358,2.3921702,2.2836607,2.1947675,2.1098664,2.2713578,1.9284183,2.4853587
31.0,80.625,2.406522,4.5692353,4.0285316,3.273128,2.8609362,2.577191,2.4284337,2.4220512,2.4695837,2.1491687,2.6540272
31.0,81.25,2.8776977,5.700827,5.061128,4.2554197,4.014792,3.692409,3.2434382,3.3561175,3.0607865,2.89479,3.2102935
31.5,72.5,2.6907253,3.9239213,4.3058987,4.534538,4.905047,4.471478,4.719591,4.4047723,3.9083533,3.9141164,4.0991607
31.5,73.125,2.7766628,3.9876504,4.431127,4.65756,5.0527754,4.704014,4.7358775,4.013029,3.7757037,3.9897056,4.0772204
31.5,73.75,2.840612,3.663861,4.3972545,4.4221354,4.8187785,4.7308693,4.5496535,3.8987398,3.600671,3.2062662,3.2526438
31.5,74.375,2.9921997,3.6724565,4.3631535,4.2707195,4.4959145,4.531081,4.309356,3.8779328,3.4455278,2.9239213,3.0031972
31.5,75.0,3.0763574,3.4977949,4.054371,4.1392455,4.2724156,4.108832,4.0597973,3.883611,3.0617876,2.7667146,2.8296375
31.5,75.625,2.971621,3.1276355,3.6205094,4.024715,4.252262,3.5586689,3.9700322,3.6728468,2.602136,2.7826426,2.6220775
31.5,76.25,2.2396402,3.2660718,3.9164157,4.358919,4.6756334,3.5740335,3.155272,2.9516947,2.1607378,3.1733308,2.5629466
31.5,76.875,2.1308794,4.0312085,3.930505,3.7656574,4.0239196,3.1111429,1.8867762,2.211933,1.7521929,2.4451144,1.8774159
31.5,77.5,3.0813267,4.722682,4.0535674,3.5625324,3.1169922,2.7618184,2.476049,2.2446163,2.2126176,2.1841989,2.1837635
31.5,78.125,3.042532,4.95108,4.1511765,2.9480305,2.5776777,2.059198,2.0364542,1.9258394,2.244592,2.08722,2.4039295
31.5,78.75,2.1508281,3.8889165,3.5017624,2.309261,1.8866181,1.6160257,1.7833985,1.6607578,1.9077674,1.5774386,1.8301666
31.5,79.375,2.6126556,4.20869,4.026539,3.0473063,2.507759,2.4894795,2.1962795,2.2524602,2.3415728,2.0435896,2.5226796
31.5,80.0,2.867066,4.4889803,4.203218,3.2804523,2.5767722,2.731317,2.5392892,2.6525831,2.7232947,2.3175154,2.5090566
31.5,80.625,3.5159757,5.965442,5.314782,4.399756,3.719295,3.553965,3.2294827,3.2092395,3.1658566,3.034076,3.5380766
31.5,81.25,4.454169,7.4593973,6.8149557,5.7564287,4.645037,4.6635356,4.0974736,3.9490957,3.6992223,4.1456876,4.936319
32.0,72.5,3.431267,5.365277,5.059065,5.4228187,5.7934036,4.3293557,4.2790356,3.8138576,3.1875362,4.5388484,4.7456613
32.0,73.125,3.1419365,4.7341146,4.956305,4.942513,5.704836,4.425661,4.454911,3.7175088,3.2438188,4.1823874,4.4973865
32.0,73.75,2.8496373,3.721373,4.5714765,4.3579426,5.0490427,4.27348,4.3579793,3.6154578,3.2359169,3.0996869,3.4628
32.0,74.375,2.8874004,3.2939627,4.2612133,4.1558266,4.545656,3.9133077,3.970662,3.4928913,2.995715,2.698359,2.903539
32.0,75.0,2.887369,3.1090136,3.8583496,4.091032,4.3015,3.6160583,3.7180161,3.4674692,2.7284787,2.6529174,2.471003
32.0,75.625,2.3660104,3.1115391,3.857247,3.8960936,4.3107295,3.5898538,3.355995,3.1892514,2.2878861,2.6950355,2.3051422
32.0,76.25,2.0657332,3.3356433,3.921968,3.7844074,3.9458418,3.327484,2.1497827,2.505508,1.8650103,2.399838,1.7500885
32.0,76.875,2.9629736,4.6327205,4.298275,3.7864583,3.707419,2.9524841,1.9361045,2.410884,2.274304,2.1398125,1.8619211
32.0,77.5,3.7528553,5.1508207,4.6388435,3.3734374,3.2040167,2.238031,2.4496346,2.3059585,2.536405,2.1763234,2.552782
32.0,78.125,2.5033278,4.1979566,3.8060405,2.2590332,2.3196447,1.5625995,1.8233114,1.8531327,1.9409786,1.5349267,1.9303455
32.0,78.75,1.5966446,2.8938332,2.529185,1.8928872,1.7494819,1.6161152,1.6542796,1.6781706,1.7064002,1.2579845,1.5371164
32.0,79.375,2.1624286,4.053602,3.4164393,2.704248,2.5058217,2.35779,2.2514553,2.4315019,2.310225,1.7655371,2.274592
32.0,80.0,3.1575615,5.375295,4.802008,4.0661945,3.1420522,3.245762,2.593394,2.766132,2.7355669,2.631622,3.1178944
32.0,80.625,4.3650184,6.6010494,6.107058,5.439925,3.9725082,4.101768,3.4199598,3.5249999,3.3218298,3.7116213,4.3578196
32.0,81.25,5.5134087,7.803585,7.0697756,6.0897946,4.5274005,4.563877,4.0853925,4.0635424,3.8093462,4.55052,5.5323477
32.5,72.5,3.6756833,5.4483857,5.086393,5.5950685,6.1585827,4.188747,4.0600176,3.3364525,2.8945186,4.140529,4.631778
32.5,73.125,4.3517714,5.519978,5.6846633,5.767204,6.6396894,4.5714455,3.6121142,2.9511354,2.718884,4.7272935,5.5234284
