lat,lon,ym,BC_AOD,SU_AOD,DU_AOD,DU_AOD_pm25,T2m,T850,T500,T250,QV2M,Q850,Q500,Q250,elevation
29.0,79.375,1980-01-01,0.00733292,0.021250764,0.024279978,0.014741733,14.482349999999997,283.03464,255.82576,226.09389,0.0034124001,0.0024643438,0.00042066435,4.592954e-05,215.8316
29.0,79.375,1980-02-01,0.0093564745,0.03654229,0.063201465,0.03709181,18.493130000000008,285.73544,257.32068,225.02243,0.0040686545,0.0034331202,0.00064600987,5.3657852e-05,215.8316
29.0,79.375,1980-03-01,0.008504153,0.028276823,0.12776752,0.074396245,23.23214000000001,289.20767,257.80237,225.67715,0.0043384023,0.0036215342,0.00088133494,4.8164195e-05,215.8316
29.0,79.375,1980-04-01,0.0072834347,0.0174755,0.12504244,0.07205984,31.371730000000014,297.09283,262.66602,227.76219,0.0039966456,0.003690021,0.0005918169,6.614252e-05,215.8316
29.0,79.375,1980-05-01,0.008862899,0.024551153,0.2339286,0.13099492,35.44920000000002,300.63345,264.70566,233.86737,0.005358495,0.004718764,0.00076310383,6.951266e-05,215.8316
29.0,79.375,1980-06-01,0.011043855,0.05453443,0.11919125,0.06750133,32.37396000000001,297.09598,269.91074,238.39883,0.0153509835,0.012278619,0.002704203,0.00027200236,215.8316
29.0,79.375,1980-07-01,0.010032097,0.05983951,0.07440284,0.041319974,28.78920000000005,294.79782,272.30585,240.31462,0.02097854,0.015797518,0.00629234,0.0005836065,215.8316
29.0,79.375,1980-08-01,0.0104813585,0.07208962,0.06434089,0.036769457,27.93743000000001,294.3814,271.7389,239.30673,0.02018409,0.014945059,0.0050959066,0.00043942532,215.8316
29.0,79.375,1980-09-01,0.008633806,0.047503546,0.041240916,0.023439128,26.8997,293.7653,269.68903,236.21457,0.016646296,0.011872468,0.0025125227,0.00016450015,215.8316
29.0,79.375,1980-10-01,0.010031968,0.05036538,0.07508646,0.043198097,24.01030000000003,291.708,263.7503,230.67242,0.0102683855,0.0068464195,0.00044147362,5.0779887e-05,215.8316
29.0,79.375,1980-11-01,0.009708814,0.037358176,0.030114986,0.018016279,19.924920000000043,287.72653,262.19528,227.20323,0.005873912,0.0042955773,0.00029604844,5.7095327e-05,215.8316
29.0,79.375,1980-12-01,0.010060627,0.03616932,0.013905722,0.0087853465,15.98230000000001,285.37106,260.21927,226.02399,0.0045789485,0.003229255,0.00053690386,7.294644e-05,215.8316
29.0,79.375,1981-01-01,0.01130558,0.052200258,0.053174656,0.03142121,14.897700000000045,281.81345,255.12973,224.64262,0.005115825,0.004207594,0.00051673583,3.0277117e-05,215.8316
29.0,79.375,1981-02-01,0.008406003,0.041316915,0.07370749,0.044349797,18.513500000000025,286.09427,257.7288,224.40257,0.0050393594,0.0036437113,0.00061878323,5.217293e-05,215.8316
29.0,79.375,1981-03-01,0.0094634015,0.04928999,0.09221533,0.05316084,22.82498000000004,288.75345,258.3465,222.39258,0.005808375,0.0046409327,0.00089681335,5.589624e-05,215.8316
29.0,79.375,1981-04-01,0.008045547,0.031996753,0.1408114,0.080860265,30.01718,295.969,263.28836,227.91347,0.0043979962,0.0036783053,0.00053731375,7.62406e-05,215.8316
29.0,79.375,1981-05-01,0.011099378,0.053898625,0.22251545,0.12557606,33.67700000000002,298.85748,265.20926,232.53528,0.008059389,0.006333489,0.0012192888,6.631783e-05,215.8316
29.0,79.375,1981-06-01,0.010362138,0.06627577,0.17568608,0.097917795,34.86178000000001,300.3349,268.44946,237.50932,0.009582397,0.0077414634,0.0022094413,0.00017188165,215.8316
29.0,79.375,1981-07-01,0.010302184,0.07522881,0.13328,0.074330084,29.09017,295.0284,272.3024,240.18916,0.020494316,0.016176596,0.005162159,0.0004869185,215.8316
29.0,79.375,1981-08-01,0.009617602,0.07104335,0.05932033,0.03340074,28.149,294.67593,272.3699,239.54994,0.0204901,0.015482658,0.0043304507,0.00044531917,215.8316
29.0,79.375,1981-09-01,0.010496806,0.07430423,0.05068718,0.028712569,27.86205000000001,293.96405,269.55554,235.97318,0.016229197,0.012157735,0.002009087,0.0001331948,215.8316
29.0,79.375,1981-10-01,0.008102008,0.040072408,0.056320984,0.0327669,24.002220000000023,291.70352,265.41736,231.73189,0.0074392576,0.004737408,0.0003246227,6.9087655e-05,215.8316
29.0,79.375,1981-11-01,0.009263563,0.047139008,0.0327958,0.01983122,19.00277,286.94318,260.43524,228.72511,0.0063578705,0.004711036,0.0006719705,5.8834434e-05,215.8316
29.0,79.375,1981-12-01,0.008410076,0.037856534,0.017179435,0.01078513,14.99633,283.59406,257.46017,224.1044,0.004012325,0.0029610023,0.0003466735,4.5836656e-05,215.8316
29.0,79.375,1982-01-01,0.010103495,0.08788809,0.028325334,0.017510341,15.090360000000032,282.92242,256.9328,224.18977,0.0049469774,0.003927512,0.0005355972,3.7956783e-05,215.8316
29.0,79.375,1982-02-01,0.00897304,0.07366127,0.0546892,0.032723244,15.721550000000036,283.07413,256.35498,223.38136,0.0052489205,0.0038689969,0.0006799752,5.6752182e-05,215.8316
